UserName;Handle;Timestamp;Text;Label
menk ◠‿◠;@xskysh;23/07/2023 00:02;terima kasih YaAllah telah membiarkan fosil dinosaurs terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa tante Hwang ke rumah sakit untuk menghadirkan seorang Hwang Hyunjin di bumi ini;neutral
Jagasateru2;@JAGASATERU2;22/07/2023 23:25;gulung dong mafia mafia remeh temeh bikin kelangkaan BBM;negative
Abanda;@abanda_bn;22/07/2023 23:24;Bbm naik kaget gak ? Pemimpin ko kagetan kita kerja sebulan gajian umr buat kebutuhan minus biasa aja.. Kita udah biasa hidup sengsara akibat kebijakan pemrintah kek babi gak punya otak;negative
Yo Yo Ayo;@YoYoAyo17845;22/07/2023 23:10;"Kalau tidak, kita jual hasil bumi & SDA.
Negara lain, yg dapet nilai tambah, ratusan kali lipat, jual teknologi.

Kita jual minyak mentah & bijih mineral murah.
Mereka jual BBM & mobil/elektronik/perabotan dengan harga sangat mahal.

Kekayaan SDM lebih besar daripada Kekayaan SDA";neutral
jojo;@jojo09297198;22/07/2023 22:03;"Mending 
@puanmaharani_ri
  jadi dirut pertamina kalo harga bbm naik dia akan menangis";negative
Antonia Avana;@AntoniaAvana81;22/07/2023 21:53;pencarian dana melalui IPO untuk kegiatan eksplorasi perlu dilakukan karena perusahaan migas pelat merah ini mempunyai keterbatasan pendanaan. Di sisi lain, impor minyak mentah dan Bahan Bakar Minyak (BBM) negara ini setiap tahunnya terus mengalami peningkatan.;neutral
bill gates 66;@ritasunaeti72;22/07/2023 21:52;Bayar Jokowi njing wani lah yah gan kalo gak mau bayar mas Joko Widodo sebagai bahan bakar minyak yang terpadu yang tidak bisa melihat info lengkap mengenai harga selangit hahahahahahaha cerdas dan hutang yang sangat baik untuk kesehatan dan kecantikan lainnya yang sangat;negative
WeShallArise;@PakJenggot___;22/07/2023 21:33;yg dibicarakan bahasannya kelas tinggi..rakyat retjeh kek ogut ini cm bisa melihat merasakan pembangunan2 yg merata di seluruh Indonesia..dan harga BBM yg sama di seluruh Indonesia di pemerintahan skg...yg lain2 mah ga urusan..;negative
Indonesia Satu;@Indonesia_Satu0;22/07/2023 21:29;"Alasan dibalik pentingnya Ipo Pertamina hulu energi yaitu untuk impor minyak mentah dan bahan bakar minyak BBM negara ini setiap tahunnya terus mengalami peningkatan.
#pertaminaIndonesia #PertaminaHuluEnergi #PertaminaPerkuatBUMN #Pertamina #saham #phe #bumn";neutral
Ferdy Amp;@FerdAmp;22/07/2023 21:26;Oooh ternyata loe paling bego ya? Sekarang harga BBM itu ikut harga pasar. Subsidi dicabut untuk rakyat miskin. Bego dipelihara;negative
CerchanAngin;@CerchanA;22/07/2023 21:21;Harga BBM mahal bpk gk kaget, Sok2n kaget Rambut putih.;negative
Arsitek Milenial;@samarchitect86;22/07/2023 21:03;"Faktanya proyek pembangkit listrik mangkrak.. 
Inflasi 7 % 
BBM susah 
Elpiji susah
Harga harga naik terus... 
Lha kerjanya main golf apa yang bisa diharap...? Wkwkwk...";negative
Bill (Rakyat Merdeka);@Bill23794356;22/07/2023 20:56;"BBM naik, harga kebutuhan pokok semuanya naik era Jokowi benar"" menyengsarakan rakyat";negative
AR;@aih_aria;22/07/2023 20:36;Dulu klo harga BBM sembako naik pling dpn demo bakar ban .;negative
NegeriAutoPilot;@zeegetop;22/07/2023 20:10;"Harga minyak dunia naik, buru² naikin harga BBM
Harga minyak dunia turun, boro² mikir nurunin harga BBM. 
Bensin dihapus, pertalite berangsur langka.
Bonus kebakaran mulu....
Kl nulis pakai otak.... Eh, penjilat kan ngga berotak..";negative
IMPALA UB;@IMPALA_UB;22/07/2023 19:52;"2. Bahan Bakar
Bahan bakar juga memegang peranan penting dalam terbentuknya api. Pastinya ada material yang terbakar agar api tersebut bisa hidup. Ada banyak jenis bahan bakar yang mudah memicu api seperti kertas, kayu, bensin, minyak, oli hingga gas LPG.";neutral
Bintang;@abcdxyeonjun;22/07/2023 19:23;BBM: Bahan bakar minyak;neutral
Dany Purnomo;@purnomo_dany;22/07/2023 19:14;BBM apa mau naik lagi rupanya karna ada ganti Boss Pertamina adeh sekalian turun harga spt dulu..itu baru apa kata kampanye bukan.. spt ini  ;negative
Dany Purnomo;@purnomo_dany;22/07/2023 18:36; longor diplihara duk.. duk kalau mendengar keluh kesah dari rakyatnya dari sering blusukan hanya sekedar mendengar oiya BBM.. oiya Migor.. oiya Harga kebutuhan naik .. oiya dll tp itu semua biar wow gitu loh pdhal blm tentu nyata setelah kepilih;negative
Dany Purnomo;@purnomo_dany;22/07/2023 18:35; longor diplihara duk.. duk kalau mendengar keluh dari rakyatnya dari sering blusukan hanya sekedar mendengar oiya BBM.. oiya Migor.. oiya Harga kebutuhan naik .. oiya dll tp itu semua biar wow gitu loh pdhal blm tentu nyata setelah kepilih;negative
Ja Coah;@jack_alenzo;22/07/2023 18:03;Pendapatan negara naik krn harga sda meroket tp bbm, pajak naik subsidi di cabut, infrastruktur byk yg tdk produktip shg hutang bejibun buat byr bunga pki hutang baru dan cengkraman cina dan oligharki menguat seta korupsi naik.. kog kejam sm rakyat sdr sih;negative
Ja Coah;@jack_alenzo;22/07/2023 18:03;Pendapatan negara naik krn harga sda meroket tp bbm, pajak naik subsidi di cabut, infrastruktur byk yg tdk produktip shg hutang bejibun buat byr bunga pki hutang baru dan cengkraman cina dan oligharki menguat seta korupsi naik.. kog kejam sm rakyat sdr sih;negative
Boolzuka_Sensei;@BolzSensei;22/07/2023 17:53;Setuju pak kalo kaget, dulu juga pendahulu anda pas tau harga BBM naik sampe nangis bhombhay;negative
kia;@hawrutobie;22/07/2023 17:46;terima kasih Tuhan telah membiarkan fosil dinosaurs terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya haruto ke rumah sakit untuk menghadirkan seorang WATANABE HARUTO di bumi ini;neutral
Bang One;@bangoneeee;22/07/2023 16:25;"Anjeng anjeng istana kodok burik gak pada gonggong ya, klo harga pangan naek?

BBM naek aja pada anteng, malah mending radikal radikul.. ";neutral
penyendiri;@penyndiri;22/07/2023 16:07;"Selama ahok di pertamina
1. Harga bbm selalu naik walau harga minyak  dunia turun, mencekik rakyat kecil
2. Depo depo pertamina banyak tjdi kebakaran karena minim perawatan
3. Gedung pertamina ngontrak 300 M / th
4. Ada Kasus korupsi pembelian LNG kerugian negara 2 T
5. Rugi mulu";negative
feya — ia;@jisungnoot;22/07/2023 15:40;terima kasih Tuhan telah membiarkan fosil dinosaurs terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya jaehyun ke rumah sakit untuk menghadirkan seorang HAN JISUNG di bumi ini;neutral
Jelifan;@ZieYan16;22/07/2023 14:30;Sejak kapan Ahok punya rekam jejak mumpuni, dari jaman Ngabalin item dekil sampai Ngabalin glowing imposibel Ahok bisa buat pertamina seperti Petronas.jual harga BBM mahal aja tetap oleng.mimpi;negative
Baddrus Beat;@BaddrusB24865;22/07/2023 14:20;"Tidak mewakili semua sopir lol
Tar kaya thn 2014 begitu semangat pilih jakowi harga BBM langsung naik
Supir klojotan komisi berkutan hahaa narik lg susah mau di ulang";negative
Markesot;@SaifuddinSay;22/07/2023 14:07;Bloon lo... Dia gak ngapa-ngapain di Pertamina. Gak punya kontribusi. Dia sendiri yang bilang ...;negative
mytha. JAKE SIM MULLET WTF;@jjaeminloveu;22/07/2023 13:24;terima kasih Tuhan telah membiarkan fosil dinosaurs terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya jake ke rumah sakit untuk menghadirkan seorang JAKE SIM di bumi ini.;neutral
POLSEK LIMPASU;@LimpasuPolsek;22/07/2023 12:49;"Anggota Polsek Limpasu Melaksanakan giat Pam di SPBU guna kelancaran dan keamanan bagi warga dalam mengisi BBM, serta memonitor ketersedian BBM untuk menghindari adanya kelangkaan BBM di Daerah Hukum Polsek Limpasu.

( Limpasu, Sabtu, 22 Juli 2023 )

#humaspolreshst
#polreshst";neutral
Serayu Nusantara;@NusantaraSerayu;22/07/2023 12:36;Kementerian ESDM telah menetapkan Keputusan Dirjen Minyak dan Gas Bumi Nomor 252.K/HK.02/DJM/2023 tentang Standar dan Mutu (Spesifikasi) Bahan Bakar Minyak Jenis Bensin (Gasoline) RON 95 dengan Campuran Bioetanol 5% (E5) yang Dipasarkan di Dalam Negeri.;neutral
𝔹𝕝𝕒𝕟𝕜!;@blank0429;22/07/2023 12:15;"Klaim entaskan kemiskinan tapi harga BBM yg punya efek multiplier dinaikkan

Berujar mau sehatkan +62 tapi mandatory spending yg cuma 5% dihapus

Berdalih memajukan negara tapi utang tdk produktif makin menggila

PSBB & kegiatan ekonomi rakyat dibatasi tapi Pejabatnya makin kaya";negative
POLSEK LIMPASU;@LimpasuPolsek;22/07/2023 12:12;"Anggota Polsek Limpasu Melaksanakan giat Pam di SPBU guna kelancaran dan keamanan bagi warga dalam mengisi BBM, serta memonitor ketersedian BBM untuk menghindari adanya kelangkaan BBM di Daerah Hukum Polsek Limpasu.

( Limpasu, Jum'at, 21 Juli 2023 )

#humaspolreshst
#polreshst";neutral
Teras Jakarta;@terasjakartaid;22/07/2023 10:55;BBM Bioetanol dikabarkan bakal resmi diluncurkan oleh Pertamina pada pekan depan. Harga lebih tinggi dari pertamax.;neutral
Ash-Sahabah;@SahabahTv;22/07/2023 10:34;Betul banget jangan terpaku angka2 fantastis yang pemerintah Jokowi sampaikan penuh dusta, lihat realita harga bahan pokok mahal, listrik mahal, BBM mahal.. makin berat rakyat selama pemerintahan jokowi;negative
Kojek;@ARI52630069;22/07/2023 10:16;Justru kebijakan Jokowi mencekik rakyat kecil. BBM. Harga pangan cuma menutupi itu untuk penghasilan.;negative
adrian12_;@anakkadrun19;22/07/2023 10:06;"Serius gas melon 3kg dan pertalite mau naik ??? 
Boleh aja sih semua naik asal presiden  dan para mentrinya turun atau mundur   ..";negative
enggasaputra;@somadbulhasan;22/07/2023 06:31;saat ini rakyat sudah menyadari namun terbuai dgn bantuan yg sifatnya sementara padahal harga bahan bahan pokok dan BBM melambung naik terus ... akhirnya rakyat yg ekonomi lemah sangat merasakan mengalami kesulitan hidup, biaya sekolah anak semakin mahal tdk seperti dulu ...;negative
Wibu;@Long77785509;22/07/2023 05:17;"Air (H2O) yg di ubah menjadi H2, secara keilmuan mmg bisa, tp biayanya lbh mahal dr harga BBM
Klo O2 ( oksigen) di ubah menjadi H2, berarti dia Tuhan";neutral
sulastri tejo;@sulastri_tejo;22/07/2023 04:15;Green Refinery, Komitmen Kilang Pertamina untuk Mewujudkan Bahan Bakar Ramah Lingkungan,bertujuan untuk mengurangi dampak negatif kilang minyak pada lingkungan, termasuk emisi gas rumah kaca dan polusi udara.;neutral
n;@nilabyi;22/07/2023 02:45;Green Refinery, Komitmen Kilang Pertamina untuk Mewujudkan Bahan Bakar Ramah Lingkungan,bertujuan untuk mengurangi dampak negatif kilang minyak pada lingkungan, termasuk emisi gas rumah kaca dan polusi udara. Mantul banget yah ;neutral
qnn;@qnnangan;22/07/2023 02:41;FYI nih!! Green Refinery, Komitmen Kilang Pertamina untuk Mewujudkan Bahan Bakar Ramah Lingkungan.  Komitmen keren sih ini Green Refinery menjadi salah satu inisiatif pengolahan bahan bakar minyak yang ramah lingkungan.;neutral
Kuat_riya;@kuat_riya;22/07/2023 01:52;Green Refinery, Komitmen Kilang Pertamina untuk Mewujudkan Bahan Bakar Ramah Lingkungan,bertujuan untuk mengurangi dampak negatif kilang minyak pada lingkungan, termasuk emisi gas rumah kaca dan polusi udara.;neutral
sendiridoloe;@sendiridoloe;21/07/2023 23:33;Green Refinery, Komitmen Kilang Pertamina untuk Mewujudkan Bahan Bakar Ramah Lingkungan,bertujuan untuk mengurangi dampak negatif kilang minyak pada lingkungan, termasuk emisi gas rumah kaca dan polusi udara.;neutral
Stupidity Must Ended..!!;@Andi_ZaKi;21/07/2023 23:25;"Klo kejadian sampe jadi direktur artinya siap² bakal melonjak jauh harga BBM setelahnya,,
Seperti biasa, Ahok yg akan dijadikan bemper oleh pemerintah utk pengambilan kebijakan non-populis macam itu,,";negative
Ning;@hueningkuh;21/07/2023 22:21;Green Refinery, Komitmen Kilang Pertamina untuk Mewujudkan Bahan Bakar Ramah Lingkungan,bertujuan untuk mengurangi dampak negatif kilang minyak pada lingkungan, termasuk emisi gas rumah kaca dan polusi udara.;neutral
umma nanaj;@ukhtielya;21/07/2023 22:16;Emamg harga beras gula sabun murah d jateng BBM murah d jateng listrik murah apa d jateng ?? sama kan harga  semua daerah sembako2 beras telor ayam semua harga sama bodoh..;negative
Loko Inka Madiun Tegas;@loko_inka;21/07/2023 21:09;minyak mentah dari 260.000 barel per hari menjadi 360.000 barel per hari. Kilang ini juga akan mendukung pengurangan emisi gas buang kendaraan bermotor dengan peningkatan kualitas produk bahan bakar minyak yang lebih ramah lingkungan dengan standar EURO V.;neutral
Zane.;@Haechangelawak;21/07/2023 20:42;Terima kasih Tuhan telah membiarkan fosil dinosaurs terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya Khaila ke rumah sakit untuk menghadirkan seorang KHAILA ISHAIRA di bumi ini;neutral
Naa;@najlaurora;21/07/2023 20:25;Green Refinery, Komitmen Kilang Pertamina untuk Mewujudkan Bahan Bakar Ramah Lingkungan! Bertujuan untuk mengurangi dampak negatif kilang minyak pada lingkungan, termasuk emisi gas rumah kaca dan polusi udara ;neutral
JTzen_Mojokerto_Jago;@JTzenMojokerto;21/07/2023 19:58;pengolahan minyak mentah dari 260.000 barel per hari menjadi 360.000 barel per hari. Kilang ini juga akan mendukung pengurangan emisi gas buang kendaraan bermotor dengan peningkatan kualitas produk bahan bakar minyak yang lebih ramah lingkungan dengan standar EURO V.;neutral
anaknyayoyok;@anaknyayoyok;21/07/2023 19:41;Harga telur naik,bbm naik tau tau yg turun nabi isa;negative
tribunjateng.com;@tribunjateng;21/07/2023 19:40;Sah Naik! Daftar Harga BBM Terbaru Hari Ini Jumat 21 Juli 2023, Cek Harga Jawa, Bali dan DIY;neutral
Mu Ri Di;@Mu21Di;21/07/2023 19:02;Harga bbm kita hampir ga beda jauh dg di amrik, sementara di sono umr rata2 antara rp 30-40 jt.;negative
Tutor kirim menfess di like;@moanamenfess;21/07/2023 18:55;terima kasih Tuhan telah membiarkan fosil dinosaurus terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya beomgyu ke rumah sakit untuk menghadirkan seorang choi beomgyu di bumi ini -moa;neutral
Ekspedisi Indonesia Baru;@idbaruid;21/07/2023 18:51;"Masih ingat film ke-2 
@idbaruid
 yang menceritakan tentang nelayan, harga BBM, dan oligarki??
Yaps, #AnginTimur 
Sekarang sudah dapat ditonton di youtube Ekspedisi Indonesia Baru

Langsung klik disini 
https://youtu.be/zx-8B2o632Y

#Idbaruid #BBM #Nelayan #Laut #Oligarki";neutral
✰;@anythixng;21/07/2023 18:44;Green Refinery, Komitmen Kilang Pertamina untuk Mewujudkan Bahan Bakar Ramah Lingkungan,bertujuan untuk mengurangi dampak negatif kilang minyak pada lingkungan, termasuk emisi gas rumah kaca dan polusi udara.;neutral
al;@bowotoris;21/07/2023 18:42;terima kasih tuhan telah membiarkan fosil dinosaurus terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya beomgyu ke rumah sakit untuk menghadirkan seorang choi beomgyu di bumi ini;neutral
| ⚘ Veronicken Tan |;@veroaktivis;21/07/2023 18:39;"Gini aja. Rasio UMR terhadap harga BBM aja d purworejo
2013 :
UMR :950.000 
BBM: 4.500 
Dapat: 211 Liter

2024
UMR: 2.040.000
BBM price: 10.000
Dapat: 204 

Kalau patokan UMR vs BBM.
Artinya lebih NILAI gaji jaman SBY";negative
do it like ✧depi✢;@304lovelysoogyu;21/07/2023 18:39;terima kasih Tuhan telah membiarkan fosil dinosaurus terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya beomgyu ke rumah sakit untuk menghadirkan seorang choi beomgyu di bumi ini;neutral
Julio;@Juliohoki;21/07/2023 18:38;Green Refinery, Komitmen Kilang Pertamina untuk Mewujudkan Bahan Bakar Ramah Lingkungan,bertujuan untuk mengurangi dampak negatif kilang minyak pada lingkungan, termasuk emisi gas rumah kaca dan polusi udara.;neutral
salmaa;@piscessgurll;21/07/2023 18:37;terima kasih Tuhan telah membiarkan fosil dinosaurs terdegradasi dan menjadi minyak bumi yang digunakan untuk bahan bakar mobil yang membawa mamanya seungmin ke rumah sakit untuk menghadirkan seorang KIM SEUNGMIN di bumi ini;neutral
Feral Beetch;@feralbeetch;21/07/2023 18:33;cok, harga bbm naik 1000 aja udh pada demo, mau beli ginian WKWKWKWKWWKK;negative
ReforMiner Institute;@REFORMINERinfo;21/07/2023 18:03;Profil pasar BBM di sejumlah negara di ASEAN tidak sama, harga BBM di tingkat pengguna akhir antar negara pada dasarnya tidak dapat dibandingkan secara langsung.;neutral
KIARA Indonesia;@KiaraIndonesia;21/07/2023 17:29;Realitanya hari ini, nelayan dan perempuan nelayan masih sulit mendapatkan BBM bersubsidi, krisis iklim membuat nelayan semakin sulit mendapatkan ikan, ekosistem pesisir kian rusak disebabkan oleh mega proyek yang eksploitatif dan esktraktif seperti reklamasi ataupun tambang,;neutral
Bayangan Cebong;@cebong_dungu2;21/07/2023 16:31;Program2 ekonomi Joko Wi perlu terus di lanjutkan, dollar stabil di bawah 10 ribu, ekonomi tumbuh 7 persen, food estate sukses besar, sehingga tak ada lagi cerita impor pangan, harga bbm & angkutan logistik murah, Hutang lunas, Wajar aja kalau rakyat puas bahagia di era Joko Wi.;positive
Banyoe Biroe;@_Banyoe;21/07/2023 16:30;"Bgimn Industri Medis menciptakan Epidemi dan menerima untung Miliaran Dolar dari Pajak dan biaya kita, misalnya langgengkan hoax covid ; ribuan triliun pajak dicuri lalu kita membayar lagi BBM naik dan biaya krisis hdp lainnya sedang masa depan kshtan makin suram #Scam";negative
Bayangan Cebong;@cebong_dungu2;21/07/2023 16:29;Program2 ekonomi Joko Wi perlu terus di lanjutkan, dollar stabil di bawah 10 ribu, ekonomi tumbuh 7 persen, food estate sukses besar, sehingga tak ada lagi cerita impor pangan, harga bbm & angkutan logistik murah, Hutang lunas, Wajar aja kalau rakyat puas bahagia di era Joko Wi.;positive
Bayangan Cebong;@cebong_dungu2;21/07/2023 16:28;Program2 ekonomi Joko Wi perlu terus di lanjutkan, dollar stabil di bawah 10 ribu, ekonomi tumbuh 7 persen, food estate sukses besar, sehingga tak ada lagi cerita impor pangan, harga bbm & angkutan logistik murah, Hutang lunas, Wajar aja kalau rakyat puas bahagia di era Joko Wi.;positive
Bayangan Cebong;@cebong_dungu2;21/07/2023 16:27;Program2 ekonomi Joko Wi perlu terus di lanjutkan, dollar stabil di bawah 10 ribu, ekonomi tumbuh 7 persen, food estate sukses besar, sehingga tak ada lagi cerita impor pangan, harga bbm & angkutan logistik murah, Hutang lunas, Wajar aja kalau rakyat puas bahagia di era Joko Wi.;positive
Kompas.com;@kompascom;21/07/2023 16:05;"Jawaban Ahok soal Alasan Harga BBM Subsidi Tak Turun Saat Minyak Dunia Anjlok

< #Pertamina #HargaBBM #Ahok";neutral
Abdurahman Nashir;@nashirr27;21/07/2023 15:21;"Kemudian, pada 9 September 2022 menggelar aksi demonstrasi menolak kenaikan harga BBM di Tugu Kujang, Bogor. 

Mereka membentangkan spanduk dan poster bertuliskan : BBM Naik Bukti Rezim Jokowi Neolib, Kebijakan Dzalim, Khianat, Terapkan Syariah & Khilafah.";negative
JTZen Kota Malang 2 Jago;@JTzen_MLG2_Jago;21/07/2023 14:04;"Kilang ini juga akan mendukung pengurangan emisi gas buang kendaraan bermotor dengan peningkatan kualitas produk bahan bakar minyak yang lebih ramah lingkungan dengan standar EURO V.

#KilangPertaminaInternasional #RDMPBalikpapan";positive
𝕱𝖎𝖉𝖊𝖑𝖎𝖔;@figlio_delsole;21/07/2023 13:24;"Prestasi mereka jelas:
1. Mencabut subsidi BBM hingga harga BBM naik 12 kali
2. Ngutang gila2an hampir 8.000 Trilyun tanpa ada manfaat signifikan yang dirasakan oleh rakyat kecil
3. Bagi2 jabatan hanya kepada kroni2nya
4. Janji2 kampanyenya zonk semua
5. SDA diobral ke asing";negative
Polsek Firdaus;@PolsekFird9585;21/07/2023 11:28;"Personil Polsek Firdaus dan Unit Intel Polsek Firdaus  melakukan  deteksi dan  monitor  stock BBM  pasca penyesuaian harga/kenaikan harga BBM Bersubsidi  serta kelangkaan BBM di SPBU - SPBU diwilayah hukum Polsek Firdaus 

#polressergai";neutral
TribunJualBeli;@TribunJualBeli;21/07/2023 11:27;"""Mobil Mewah Irit BBM, Cek Harga Sedan Bekas Civic Turbo 2016-2020 di DKI Jakarta""

Performa Honda Civic yang menawan dengan fitur-fitur canggih yang ditawarkan, tentunya masuk dalam rekomendasi mobil irit bensin saat ini.
 https://blog.tribunjualbeli.com/54492/mobil-mewah-irit-bbm-cek-harga-sedan-bekas-civic-turbo-2016-2020-di-dki-jakarta… lewat 
@tribunjualbeli";neutral
tishaputri;@tishaputrie;21/07/2023 11:06; menyesuaikan perbandingan harga bbm di sini dan di sana;neutral
Brayen;@InsaniJamal;21/07/2023 10:38;Hasil kerja gak ada. Mingkem aja Pertamina pasti untung, nyata nya rugi terus sampai harga BBM di naikkan. Masih aja rugi;negative
candrakusuma;@kusumac738;21/07/2023 10:26;Inflasi Masih Terjaga Pasca Penyesuaian Harga BBM, Karena Pengendalian Harga Pangan;positive
toyip;@toyip53786197;21/07/2023 10:22;Haa bbm pertalik katanyadi jual  harga pasar eee 5 tahun 10.000 netek kok bisa oom;negative
detikcom;@detikcom;21/07/2023 10:22;Bukan mobil sembarangan, Honda Civic Type R yang dijajal Marquez ini menggunakan bahan bakar terbarukan.;neutral
Ilhami Asnawi;@ilhamiasnawi;21/07/2023 10:09;Jelang Akhir Pekan Harga BBM Pertamina Naik Lagi, Cek Daftarnya;neutral
Surya Achmad;@sujeAchmad;21/07/2023 09:45;Hanya jaman jokowi freeport jatuh ke indonesia, petral bubar, harga bbm sama se indonesia, perbatasan di bangun sebagus bagusnya,,,, silahkan pindah malay sia kalau bacotmu gak seimbang, nikmat Tuhan yg mana lagi yg kamu dustakan, tinggal bersyukur;negative
