created_at,Komentar,Sentiment,Score,month_year
2023-02-20 15:51:32+00:00,Hidup di Jakarta skrg apalagi ke mall atau ke tempat gede udah bisa banget cashless Di bbrp toko/restoran bahkan cuma terima cashless payment aja sebagai metode pembayaran. Cuma pakai QRIS lgsg bayar ini itu semuanya,positive,7.966.853.976.249.690,2023-02
2023-02-21 01:28:29+00:00,Flash coffee bayar pake Qris BCA lg buy 1 get 1 free gais saatnya beli kohiiiii https://t.co/9fyGE8gYbQ,neutral,9.789.712.429.046.630,2023-02
2023-02-21 06:47:54+00:00,lanyard wallet https://t.co/SdRaI1EO3R praktis sat set pake ini bawa id card sekalian atm ktp emoney sama uang receh skr bayar bayar udh pake qris kan yah ini buat jaga jaga aja gitu https://t.co/2HRSOheAzP,positive,9.796.466.827.392.570,2023-02
2023-02-21 09:55:29+00:00,di kfc tadi bingung kok pada bayar pake qris bca : ( pas dah pulang malah baru tau promo ini https://t.co/jLFKOP5FVK,neutral,978.727.638.721.466,2023-02
2023-02-21 11:47:02+00:00,Pecinta smoothies mana suaranya?? Mau jajan smoothies favorit bisa lebih irit karena ada diskon HINGGA Rp10 RIBU* kalau kamu bayar pakai QRIS neobank! Tunggu apalagi Neotizen? Yuk jajan di Joomba sekarang dan dapetin diskonnya! https://t.co/xMn6R2R98J,positive,8.321.383.595.466.610,2023-02
2023-02-21 13:55:21+00:00,PROMO McD QRIS BCA bayar 50rban udah dapet menu sebanyak ini gaissss mau tau ga menu nya apa? #promobca #HUTBCA66 #promomcd https://t.co/AhWBBTIRes,neutral,983.028.769.493.103,2023-02
2023-02-22 03:06:51+00:00,/info tadi aku liat masih banyak yg bingung promo mcd hut bca ngga adaa kuota dan ngga adaa ketentuan jenis kartu rekening yaa temen2 cuma bayar pake qris bca ajaa https://t.co/pmVwlLgSIq,neutral,9.645.169.973.373.410,2023-02
2023-02-22 04:55:12+00:00,/info btw guys supaya gak bingung yg harga 54k itu harga setelah cashback qris yg 66% itu ya. Jadi harus bayar normal dulu sebelum dapetin harga 54k. Intinya yg lebih worth emang yg scan vc apk yg 4 ayam dan sisanya beli menu lain untuk genapin 100k,positive,5.826.687.216.758.720,2023-02
2023-02-22 07:11:57+00:00,netflix harian yg bisa bayar pake qris sob #zonauang,neutral,9.914.807.081.222.530,2023-02
2023-02-22 07:33:34+00:00,Arc! roha mau nanya dong event ini bayar nya pake apa? Qris atau cash? soal nya aku baru pertama kali mau ke event kaya gini hehehe https://t.co/0uweRmgv10,neutral,9.835.929.870.605.460,2023-02
2023-02-22 09:48:14+00:00,@Yulianti2607 @discountfess Aku bukan sender tp ku bantu jawab ya Kamu bisa mesen di mesin self service kak menu yg km mau setelah itu ketika pembayaran pilih bayar di kasir. Nanti dikasir bilang sama mbaknya mau bayar pake QRIS mbca gitu kak. Semoga membantu,neutral,8.797.996.640.205.380,2023-02
2023-02-22 10:56:00+00:00,@rutacebae @FOODFESS2 klaim promo di app mcd kak yg paket 4 ayam 2 nasi 2 minum 54ribu. trs ditambah beli paket family time yg 89ribu. totalnya jadi 150an ribu bayar pake qris bca dpt cashback 66% (maks cashback 100k) jd total sisanya tinggal 50ribuan ajaaa,neutral,7.190.667.986.869.810,2023-02
2023-02-23 07:55:36+00:00,Makin maju bayar tarif trans jogja pake scan Qris🇮🇩 https://t.co/gnuRGiBogd,neutral,9.669.029.116.630.550,2023-02
2023-02-24 01:05:18+00:00,/info yg cari t-shirt diskon roughneck lagi cuci gudang sort by price low to high yaa. nanti pas mau checkout klik flik 1-click checkout biar dapet disc 25k (new user website roughneck) nanti pas mau bayar munculnya harga awal sebelum disc tapi pas udah di scan qris/va (cont..) https://t.co/pK8sFmZvSk,neutral,9.484.423.995.018.000,2023-02
2023-02-24 02:13:46+00:00,memulai hari dengan terjebak nunggu teman di tempat sarapan karena nda bisa bayar pake QRIS dan gabawa duit kes lfg,negative,9.964.876.174.926.750,2023-02
2023-02-24 03:00:22+00:00,Sobat Shopee! Bayar QRIS pakai ShopeePay! Cashback sampai dengan 80% lho! Cek info lengkapnya di sini ya https://t.co/i63gLnvDcp #Shopeecare #MelayaniDenganSolusi https://t.co/dsyrcYnUR3,neutral,9.722.217.321.395.870,2023-02
2023-02-24 05:52:54+00:00,BRImo fiturnya mempermudah gue banget apalagi ada fitur Qris sekarang mau bayar apapun lebih mudah dan engga perlu bawa uang cash lagi Valid No Debat deh #BRImoInAja https://t.co/6ZaszBsRo0,positive,6.898.885.369.300.840,2023-02
2023-02-24 06:10:53+00:00,help rt thank youuu aku ada layout isa stayc dapet ava jpng bisa bayar via qris dan harga 3000 ajaaa. marieee jajan #zonauang https://t.co/Hid9tRMmP4,neutral,8.339.145.183.563.230,2023-02
2023-02-24 08:40:18+00:00,Shopping OOTD hits di Urban &amp; Co jangan lupa bayarnya pakai AstraPay ya! Caranya mudah banget: 1. Pergi belanja online di website Urban&amp;Co 2. Check out belanjaanmu 3. Pilih payment by Xendit 4. Klik bayar sekarang 5. Selanjutnya pilih E-money/QRIS dan pilih AstraPay https://t.co/Mr7gLD2OaY,neutral,6.477.770.805.358.880,2023-02
2023-02-24 13:01:17+00:00,Need canva yg murce bayar via qris #zonaba #zonauang,neutral,9.947.380.423.545.830,2023-02
2023-02-25 05:39:06+00:00,RT WOULD BE APPRECIATED &lt;3 aku ada 4 layout ready stock nih dapet ava png+jpg bisa bayar qris juga untuk harganya khusus wonyoung 2000 hanni sohee dan chaehyun 3000 aja marie jajan #zonauang https://t.co/aiF0HOdiEH,neutral,8.402.634.263.038.630,2023-02
2023-02-25 07:07:25+00:00,Brum brum brum Program Racing QRIS BTN Mobile datang~ Perbanyak belanja apapun sesuka hati kamu dan bayar pakai QRIS BTN Mobile bisa dapatkan CASHBACK sebesar Rp30.000! Promo sampai 28 Februari 2023 yah! https://t.co/2FNjg48qh5,neutral,8.998.507.261.276.240,2023-02
2023-02-25 10:03:42+00:00,Anak sekolah nonton bioskop dan jajan popcorn di CGV HEMAT PULUAN RIBU karena dapet CASHBACK 50% sampai Rp25.000 ketika bayar pakai QRIS Whiz?!?! Yuk merapat Whizmin spill rahasia hematnya promo pelajar #NobarPelajar di sini! https://t.co/w9uoKstUXW,neutral,8.354.077.935.218.810,2023-02
2023-02-26 03:02:21+00:00,@ngalammenfess Fyi dari sisiku yang juga pedagang bukan maksudnya gak bener akad jual beli. Tapi terkadang cari uang receh 200 ato 100 itu susah sekarang. Jadi kadang ada stoknya dikit nder. Nah biar ga ribet kembalian besok² sering bayar pake QRIS aja jadi bisa hemat sampe 100 perak pun,positive,691.554.069.519.043,2023-02
2023-02-26 03:58:51+00:00,@worksfess Bayar pake apapun klo via app ya minimal pasti bakal ada notif transaksi berhasilnya kk :( Ini Murni salah kakak sendiri yg nekat terima pembayaran QRIS padahal gk ngerti cara kerjanya. Semangat kk semoga jadi pelajaran. https://t.co/O6ymwmfJuR,negative,8.318.636.417.388.910,2023-02
2023-02-26 04:07:13+00:00,@worksfess Ini sih ngescan qris pake qr scanner biasa bukan bukti transaksi bayar. Isinya qris kayak begitu datanya kalo discan fungsinya untuk entry data awal kalo discan pake aplikasi bayar qris,neutral,5.461.465.120.315.550,2023-02
2023-02-26 04:10:06+00:00,Cashback 50% QRIS Livin by Mandiri pakai Kartu Kredit ️ Hingga 28 Februari 2023 Minimal transaksi Rp50.000 maksimal Rp25.000 Bayar pakai QRIS dengan sumber dana Kartu Kredit Cashback diberikan ke limit Kartu Kredit hari Jumat minggu berikutnya https://t.co/ljMzTV75po https://t.co/WLV5LPNglK,neutral,9.920.966.625.213.620,2023-02
2023-02-26 04:12:36+00:00,@slmat pgi. *mbeli jruk* mw bayar tunai atau debit? bs pake qris? wow gkbisa dik tunai aja mending [tersenyum] ni 1jt dibayar tunai sahhh [tpuk tangan hadirin] [mmakan sunflower wrwrwr] #SelcaWithBellieslebew https://t.co/pgUD7zlKAA,neutral,7.534.823.417.663.570,2023-02
2023-02-26 04:59:44+00:00,rt would be appreciated &lt;3 hi aku membawa layout semi moodboard dapet ava png+jpg bisa bayar via qris dan harganya 2500 aja. available: hanni haerin dan winter marie jajan &lt;3 #zonauang https://t.co/cBjf5TpjpT,neutral,9.775.646.924.972.530,2023-02
2023-02-26 05:01:47+00:00,Kulineran jadi lebih hemat bayar dengan scan QRIS di OCTO Mobile! Nikmati cashback 30% untuk setiap pembelian F&amp;B di berbagai merchant favorit terpilih! Saldo jadi makin aman dan traksaksi lebih nyaman karena tinggal scan QRIS lewat OCTO Mobile! Jadi #BeneranHemat! https://t.co/myjGDGQ39o,positive,9.838.887.453.079.220,2023-02
2023-02-26 16:27:36+00:00,butuh canva pro yang bisa bayar pake qris spay #zonauang️ #zonaba #zonajajan,neutral,996.550.440.788.269,2023-02
2023-02-27 08:05:51+00:00,M Banking BCA error disaat yg tdk tepat. Pas mo bayar jajanan pake qris...astagaaaaa. Mana ketinggalan kartunya kebiasaan gak gablek cash dah lah. Ngutang dulu ini mah‍️ https://t.co/po63d1Iovz,negative,9.534.425.735.473.630,2023-02
2023-02-27 08:09:22+00:00,mau bayar pake qris malah error anjirr BCA https://t.co/vGfti5t0ce,negative,7.494.054.436.683.650,2023-02
2023-02-27 08:49:53+00:00,Isi pulsa/kuota internet dapet diskon &amp; cashback. Bayar pake QRIS dapet diskon &amp; cashback. Bayar apa aja dapet diskon&amp; cashback. Ngga heran bisa dapet Neo Rewards lebih dari 3 juta. Nabung di Neobank tuh banyak cuannya. Gih buka rekening Neobank di: https://t.co/1eilnrhX2c https://t.co/O38HjGG7Ak,positive,8.925.572.037.696.830,2023-02
2023-02-27 09:12:06+00:00,Kukira udh kena taunya belom POV : mau bayar di kafe pake qris https://t.co/LofulrjCEo,neutral,9.852.567.315.101.620,2023-02
2023-02-27 13:39:21+00:00,Sekarang jamannya transaksi pakai QRIS. Mau bayar ini dan itu tinggal ngeluarin ponsel kamu scan QR Code trus bayar kelar deh! Begitu juga kalo kamu mau isi pulsa beli paket &amp; bayar tagihan Telkomsel Halo di MyGraPARI makin praktis karena bisa langsung scan pakai QRIS. https://t.co/NuSoisrMXs,positive,6.839.365.363.121.030,2023-02
2023-03-01 00:22:38+00:00,aku butuh spotify murah yang bisa di bayar pake qris #zonauang,neutral,962.712.824.344.635,2023-03
2023-03-01 01:35:58+00:00,"@bbycimiw transaksi - Berlaku pakai QRIS di myBCA, BCA mobile, Sakuku - Sudah termasuk pajak dan biaya takeaway  Mohon untuk selalu waspada serta berhati-hati terkait edaran hoax Surat Resmi Kenaikan Tarif Transaksi BCA"" yang disebarkan oleh oknum-oknum penipu yang (3/5) ^Joy""",negative,8.192.381.858.825.680,2023-03
2023-03-01 01:52:24+00:00,Tips Melakukan Pembayaran Belanja Atau Transaksi Dengan QRIS NeoBank Di ... https://t.co/yIyOnJF4qY via @YouTube,neutral,994.147.539.138.794,2023-03
2023-03-01 02:28:45+00:00,"@KangJuned Hai Sobat BRI, kami informasikan transaksi QRIS dengan kartu kredit sebagai sumber dana dapat dilakukan menggunakan kartu kredit reguler. Fitur ini belum dapat digunakan untuk kartu kredit Co Branding (OVO U Card, Tokopedia Card, Traveloka, BTN dan Pegadaian) (1)",neutral,9.878.717.660.903.930,2023-03
2023-03-01 02:29:38+00:00,"@maspri_joho Hai Sobat BRI, kami informasikan transaksi QRIS dengan kartu kredit sebagai sumber dana dapat dilakukan menggunakan kartu kredit reguler. Fitur ini belum dapat digunakan untuk kartu kredit Co Branding (OVO U Card, Tokopedia Card, Traveloka, BTN dan Pegadaian) (1)",neutral,9.899.935.126.304.620,2023-03
2023-03-01 02:43:32+00:00,"@HaloBCA min mau tanya dong, pas cashback McD Qris 22Feb itu cuman berlaku for 1x transaksi aja yaaa? W 2x transaksi euy.. bcoz baru masuk cashback nya cuman yg transaksi 124k doang..",neutral,9.711.399.674.415.580,2023-03
2023-03-01 02:44:45+00:00,"@GoodLifeBCA min mau tanya dong, pas cashback McD Qris 22Feb itu cuman berlaku for 1x transaksi aja yaaa? W 2x transaksi euy.. bcoz baru masuk cashback nya cuman yg transaksi 124k doang..",neutral,9.629.011.750.221.250,2023-03
2023-03-01 02:58:45+00:00,"T &amp  C : 📍LEGAL 100% anti minus - minus club! 📍Mendapatkan invoice pada setiap transaksi. 📍Pengerjaan fast respon selagi open  (5 - 60 menit). 📍Payment melalui semua E - Wallet, TF Bank dan juga QRIS.  Order: via twt➘  https://t.co/38YDr927nA Via WA ➘ https://t.co/wCRLrHLCFe",neutral,9.718.968.868.255.610,2023-03
2023-03-01 03:40:06+00:00,/tanya yg transaksi mcd jam 4-5 sore pake qris udah ada yg masuk blm gais cbnya?,neutral,9.946.916.699.409.480,2023-03
2023-03-01 03:48:07+00:00,@HaloBCA apakah transaksi via Qris akan otomatis masuk rekening?,neutral,9.976.123.571.395.870,2023-03
2023-03-01 03:57:32+00:00,UPAYA DUKUNG ELEKTRONIFIKASI TRANSAKSI SLEMAN KENALKAN INTEGRASI QRIS. » PAS TV NEWS https://t.co/oHRI1g9TKK https://t.co/TUH7ASKhNw,neutral,9.956.667.423.248.290,2023-03
2023-03-01 04:01:56+00:00,"Barusan transaksi pakai qris kena biaya 0,8% 🤔 emang iya ya sekarang transaksi pakai qris kena biaya ? Minggu kemarin aku transaksi qris gak ada biaya apapun, atau hanya toko ini aja yg nentuin biaya sendiri",neutral,8.898.511.528.968.810,2023-03
2023-03-01 06:13:59+00:00,"Like or dislike, aku gak suka pakai QRIS, pertama, belum tentu sinyalku oke saat transaksi. Pernah wkt mau beli buku di Gramedia, smp bbrp menit mau bayar pakai QRIS aja susah. mana loading terus appsnya, lampunya warna biru, akhirnya balik lagi ke konvensional kartu debet ajalah",negative,9.368.809.461.593.620,2023-03
2023-03-01 06:26:44+00:00,Dia pake wtt saldo melalui Qris dabis aku @/Jinwoniie11  Jangan mau untuk transaksi ke nomor atau qris kalau bukan dari akun aku sendiri.,neutral,6.271.952.390.670.770,2023-03
2023-03-01 07:14:07+00:00,"Mau makan ayam ala Korea? Gas langsung ke Moon Chicken! 🍗 Ada diskon 25% untuk pembelian dine-in di Moon Chickecn Hub PIM 3 dan Kemang dengan transaksi pakai QRIS di myBCA, BCA mobile, Sakuku, Debit BCA, dan Kartu Kredit BCA sampai 31 Juli 2023. Info https://t.co/K9axmwT0yJ https://t.co/XIgDy7lH9x",neutral,9.792.940.020.561.210,2023-03
2023-03-01 07:23:48+00:00,@HaloBCA cashback QRIS Ultah BCA belum saya terima lebih dari 5 hari kerja setelah transaksi. Bagaimana mengurusnya?,neutral,9.855.656.027.793.880,2023-03
2023-03-01 07:26:24+00:00,"@bank_jateng Min, baru sj saya melakukan transaksi via QRIS Bima Mobile. Namun, saldo saya terpotong 2 kali. Mohon solusi",negative,9.661.329.984.664.910,2023-03
2023-03-01 07:28:51+00:00,"@salmanbiroe Parahnya lagi kmrin temenku beli hp di ibox, pembayaran dngan scan Qris, dimana transaksi 20 jutaan. Dan pembayarannya nyangkut alhasil temenku terpaksa nunggu 1 jam di ibox nunggu uangnya masuk 🤧",negative,7.035.778.164.863.580,2023-03
2023-03-01 08:14:53+00:00,"Dear @Indomaret , ini kenapa dah gw scan qris dana dari kemaren kagak masuk masuk. Pas ku cek lagi hari ini tertulis data transaksi tidak ditemukan. Aneh banget. Udah send keluhan ke gmail isaku kagak di respon respon. https://t.co/qRrSBySSe6",negative,9.856.755.137.443.540,2023-03
2023-03-01 08:14:53+00:00,Dear @Indomaret ini kenapa dah gw scan qris dana dari kemaren kagak masuk masuk. Pas ku cek lagi hari ini tertulis data transaksi tidak ditemukan. Aneh banget. Udah send keluhan ke gmail isaku kagak di respon respon. https://t.co/qRrSBySSe6,negative,9.862.285.852.432.250,2023-03
2023-03-01 10:39:39+00:00,"Mereka dibekali pengetahuan, dan tentu saja praktek, bagaimana menggunakan QRIS ini dalam setiap transaksi yang mereka lakukan: mau berbelanja, mau donasi dan bersedekah sekalipun, bisa dilakukan melalui QRIS. https://t.co/7pAOutKaVX",neutral,8.860.945.105.552.670,2023-03
2023-03-01 14:08:22+00:00,"sumpah ya bca lagi kacau bgt akhir2 ini, transaksi qris di alfa/indo suka gagal &amp  tetep kepotong saldo nya, trus layanan bi-fast juga lagi maintenance lama bgt dari kemaren2 hadeh nyusahin",negative,9.973.111.152.648.920,2023-03
2023-03-01 14:27:12+00:00,"@tanyarlfes Aku make Mitra Bukalapak nder. udah lama sih make itu, habis itu ada fitur QRIS iseng daftar dan bisa. Tapi minusnya di qrisnya namanya MitraBL(nomer random) gitu, jadi bukan nama usahamu. Enaknya mdr 0%, jadi tiap transaksi gk ada potongan.",neutral,4.104.232.490.062.710,2023-03
2023-03-01 17:12:35+00:00,"@goostastu Hi Kak, untuk keluhan QRIS biar cepet ditangani. Yuk hubungi layanan Live Chat kami, caranya gampang:  1.Buka aplikasi DANA 2.Masuk ke menu Riwayat/History"" 3.Pilih transaksi yang ingin dikeluhkan 4.Lihat pada sisi kanan pojok bawah 5.Klik menu ""CHAT"" Thanks -YR-""",neutral,9.747.636.318.206.780,2023-03
2023-03-01 17:22:50+00:00,"@goesbrrbrr Hi Kak, untuk pertanyaan Qris yg diajukan, aku infoin transaksi Qris dapat menggunakan pembayaran kartu debit/kredit yang sudah terbinding dengan DANA. Thanks -YU-",neutral,990.440.845.489.502,2023-03
2023-03-01 23:35:18+00:00,"@HOlxtoto Hi Kak, aku phm dgn keluhan kamu. Untuk keluhan transaksi QRIS, saat ini msh dlm penanganan tim resolusi kami ya. Mohon menunggu proses dan updatenya dari tim resolusi kami ya Kak. Thanks -YR-",neutral,982.233.464.717.865,2023-03
2023-03-02 03:39:09+00:00,"@kurokicchi Hai, Kak @kurokicchi. Masih ada Kak untuk promo CGV menggunakan QRIS blu dengan mendapatkan cashback maksimal Rp18.000,- dan minimum pembelian Rp45.000,- dalam 1 kali transaksi, per user, per minggu ya Kak.",neutral,9.410.693.049.430.840,2023-03
2023-03-02 06:38:23+00:00,"Bonus hingga 10.000 BNI Poin+ untuk transaksi dengan Kartu Debit BNI, Bonus Voucher MAP untuk transaksi dengan QRIS BNI Mobile Banking, Bonus tiket pesawat domestik untuk transaksi dengan Kartu Debit Co-Brand Batik &amp  Garuda, Voucher MAP Rp50 Ribu dan KFC Rp20 Ribu untuk aktivasi",neutral,9.383.141.994.476.310,2023-03
2023-03-02 08:00:46+00:00,"Sudah ada rencana untuk nonton film? Nggak usah takut mahal! Karena kamu bisa mendapatkan diskon diskon Rp15.000,- untuk pembelian tiket nonton dengan transaksi menggunakan kartu debit QRIS BNI Mobile Banking.  . Info selengkapnya https://t.co/A6REtz7Fvk @cinepolisid https://t.co/lUV7n9jsKq",neutral,7.689.048.647.880.550,2023-03
2023-03-02 08:19:22+00:00,@i_m_mortal_ cashback QRIS Line Bank bulan ini cair nih yg kemarin transaksi 🤑 https://t.co/UCqWIN3EQG,neutral,9.933.291.673.660.270,2023-03
2023-03-02 08:22:25+00:00,@ameliarishyyyy @i_m_mortal_ *transaksi produk apapun diblibli bayar di QRIS Line Bank *kemungkinan udah habis kuotanya kak😫,neutral,9.666.004.180.908.200,2023-03
2023-03-02 08:55:28+00:00,"@wyn_as12 Hi Kak, maaf sdh bikin kamu gak nyaman. Utk keluhan transaksi QRIS yg blm berhasil. Sdh aku infoin via DM ya kak, silakan di cek ya. Thanks -LH-",neutral,9.933.937.191.963.190,2023-03
2023-03-02 10:26:47+00:00,"@aldi_myola Sangat disayangkan sekali atas kendalanya.  Apabila yang dimaksud adalah promo cashback 66% maka mohon dapat informasikan terlebih dahulu nominal transaksi yang dilakukan serta apakah Bapak Aldi melakukan transaksi tersebut menggunakan debit di mesin EDC, QRIS atau (1/2) ^Zayn",neutral,8.326.690.793.037.410,2023-03
2023-03-02 10:28:59+00:00,"Yuk, jajan di Jiwa Group buat dapetin diskonnya!  *Tanpa minimal transaksi. Periode promo hingga 17 Mei 2023 *Berlaku setiap tanggal 25-27 hingga bulan Mei 2023  #neobank #BuatSemua #BankNeoCommerce #QRIS",neutral,866.814.374.923.706,2023-03
2023-03-02 11:58:43+00:00,@huntingreceh Km transaksi qris nya hari apa dan jam brp ka?,neutral,9.888.893.365.859.980,2023-03
2023-03-02 12:05:01+00:00,@HaloBCA Saya transaksi sebesar 153.500 menggunakan QRIS,neutral,9.977.818.131.446.830,2023-03
