Komentar,Preprocessed Text,Logistic Regression,Lexicon-Based
BAYAR JAJANAN TINGGAL PAKAI QRIS karena semua #LebihMudahdiSeaBank! REPLY QRIS DI SEABANK DAN DOWNLOAD SEABANK SEKARANG https://t.co/ocgQEYhCQT buat dapetin KEUNTUNGAN lainnya dari SeaBank! #SeaBankID https://t.co/4hVlxQ7nnk,bayar download dapetin untung,positive,positive
Sore @HaloBCA Mau tanya ini kok dari sabtu gini terus ya. Saya bayar pake qris gangguan gk masuk2 ke penerima. https://t.co/GzG8hlSE9n,sore sabtu gin bayar pake terima,neutral,positive
mau canva pro 1 bulan yang bisa bayar pake qris,pro bayar pake,neutral,positive
RT's are appreciated! thank u Haloo! aku bawa ready stock gepeng (genshin impact &amp; honkai star rail) harganya 11.000/each dapet ava PNG only. bisa bayar lewat qris bisa di take sekarang! tysm &lt;3 #zonauang #zonajajan #zonaba https://t.co/IK9yp9khlK,thank bawa stock harga dapet ava bayar,neutral,positive
@hi *mbeli gula* mw bayar tunai atau debit? bs pake qris? wow gkbisa dik tunai aja mending [tersenyum] ni 1jt dibayar tunai sahhh [tpuk tangan hadirin] https://t.co/o1s0U758To,gula bayar tunai debit pake tunai mending senyum jt bayar tunai sah tangan,negative,positive
@convomfs kmren beli kopi di brand terkenal di indo kok disuruh nambah charge 1% ya klo bayar make qris? skrg gitu ya? tp klo bayar cash kena charge,beli kopi brand kenal indo suruh nambah charge bayar make bayar cash charge,negative,positive
Mau Disney+ bayar pake qris #zonaba #zonauang,bayar pake,neutral,positive
@gibran_tweet Mas coba pedagang di Alkid disarankan bisa bayar pake Qris biar orang-orang bisa lebih kalap kalau jajan ,coba dagang bayar pake jajan,neutral,positive
mau netflix sharing famplan seminggu dong prefer yg bisa bayar pake qris #zonauang,sharing bayar pake,neutral,positive
wtb netflix satu hari yg bisa lgsg login &amp; bisa bayar pake qris #zonauang #zonabaᅠᅠᅠ #zonajajan,lgsg bayar pake,neutral,positive
Coba yang pemilik bisnis dan udh pake QRIS aku mo nanya... Apa alasannya kalau bayar pake QRIS pembeliannya minimal 100rb? Padahal aku bayar nasi ini bisa lho 10rb aja. https://t.co/EoipOhCrNC,coba milik bisnis udh pake nanya bayar pake minimal bayar nasi,neutral,positive
Sumpah ngakak banget anjir gue mau bayar ngirim paket pake qris eh gue malah ngomingnya kiss ass anjir gatau kenapa agak ngelag nih otak,sumpah ngakak banget anjir gue bayar ngirim paket pake gue anjir gatau otak,negative,positive
Hah hari gini masih bayar pakai cash? ribet. Sekarang kemana-mana cukup bawa HP aja karna payment belanjaan kamu lebih gampang pakai QRis nya Allo Bank. Kalo kalian tipe cashless atau kemana2 harus pegang cash nih? Yuk komen dibawah ya! https://t.co/zMpSZgL8r6,gin bayar cash ribet bawa hp karna gampang bank tipe mana pegang cash komen bawah,neutral,positive
wtb canva 1 tahun drop price bs bayar pake qris #zonajajan #zonauang,drop price bayar pake,neutral,positive
Maaf telat join gaes xixixi. Kamu tipe yang mana nih pas mau bayar-bayar di kasir pake QRIS? Reply di bawah ya. https://t.co/6nnhV5VF0P,telat join xixixi tipe pas pake,negative,positive
@FOODFESS2 Bagi yang nanya atau kebingungan ini tuh matcha frappenya point coffee yang lagi promo i do like Monday dari 35k jadi 19k. Terus bayar pake qris gopay nanti langsung dapet potongan 2k jadi ya cuman bayar 17k. Sama-sama.,nanya point promo bayar pake dapet potong cuman bayar,neutral,positive
netflix sebulan yg murah bestie. yg bisa bayar pake qris ya #zonauang,bulan murah bayar pake,positive,positive
Isi kuota internet dapet cashback. Bayar pake QRIS dapet diskon. Emang banyak untungnya transaksi pake Neobank tuh. Daftar Neobank di: https://t.co/1eilnrhX2c https://t.co/TzTj6OX3mn,isi kuota internet dapet bayar pake dapet diskon emang untung transaksi pake daftar,positive,positive
help rt makasiee banyak aku membawa layout ready stock hanni new jeans dapet ava png jpg bisa bayar via qris dan harganya 3000 saja mariee jajan #zonauang https://t.co/AVbcB1nRKF,bawa stock new dapet ava bayar via harga jajan,neutral,positive
Hidup di Jakarta skrg apalagi ke mall atau ke tempat gede udah bisa banget cashless Di bbrp toko/restoran bahkan cuma terima cashless payment aja sebagai metode pembayaran. Cuma pakai QRIS lgsg bayar ini itu semuanya,hidup jakarta gede banget brp terima bayar lgsg bayar,positive,positive
Flash coffee bayar pake Qris BCA lg buy 1 get 1 free gais saatnya beli kohiiiii https://t.co/9fyGE8gYbQ,bayar pake beli,neutral,positive
 lanyard wallet https://t.co/SdRaI1EO3R praktis sat set pake ini bawa id card sekalian atm ktp emoney sama uang receh skr bayar bayar udh pake qris kan yah ini buat jaga jaga aja gitu https://t.co/2HRSOheAzP,praktis sat set pake bawa id card ktp uang skr bayar udh pake jaga,positive,positive
di kfc tadi bingung kok pada bayar pake qris bca : ( pas dah pulang malah baru tau promo ini https://t.co/jLFKOP5FVK,bingung bayar pake pas pulang promo,neutral,positive
Pecinta smoothies mana suaranya?? Mau jajan smoothies favorit bisa lebih irit karena ada diskon HINGGA Rp10 RIBU* kalau kamu bayar pakai QRIS neobank! Tunggu apalagi Neotizen? Yuk jajan di Joomba sekarang dan dapetin diskonnya! https://t.co/xMn6R2R98J,suara jajan irit diskon rp ribu bayar jajan dapetin,neutral,positive
 PROMO McD QRIS BCA bayar 50rban udah dapet menu sebanyak ini gaissss mau tau ga menu nya apa? #promobca #HUTBCA66 #promomcd https://t.co/AhWBBTIRes,promo mcd bayar rban dapet,neutral,positive
/info tadi aku liat masih banyak yg bingung promo mcd hut bca ngga adaa kuota dan ngga adaa ketentuan jenis kartu rekening yaa temen2 cuma bayar pake qris bca ajaa https://t.co/pmVwlLgSIq,info liat bingung promo mcd nga kuota nga jenis kartu rekening temen bayar pake,neutral,positive
/info btw guys supaya gak bingung yg harga 54k itu harga setelah cashback qris yg 66% itu ya. Jadi harus bayar normal dulu sebelum dapetin harga 54k. Intinya yg lebih worth emang yg scan vc apk yg 4 ayam dan sisanya beli menu lain untuk genapin 100k ,info bingung harga harga bayar normal dapetin harga inti worth emang apk ayam sisa beli,negative,positive
netflix harian yg bisa bayar pake qris sob #zonauang,hari bayar pake sob,positive,positive
Arc! roha mau nanya dong event ini bayar nya pake apa? Qris atau cash? soal nya aku baru pertama kali mau ke event kaya gini hehehe https://t.co/0uweRmgv10,nanya event bayar pake cash event kaya gin,positive,positive
@Yulianti2607 @discountfess Aku bukan sender tp ku bantu jawab ya Kamu bisa mesen di mesin self service kak menu yg km mau setelah itu ketika pembayaran pilih bayar di kasir. Nanti dikasir bilang sama mbaknya mau bayar pake QRIS mbca gitu kak. Semoga membantu,sender ku mesin self service bayar pilih bayar mbak bayar pake moga bantu,neutral,positive
@rutacebae @FOODFESS2 klaim promo di app mcd kak yg paket 4 ayam 2 nasi 2 minum 54ribu. trs ditambah beli paket family time yg 89ribu. totalnya jadi 150an ribu bayar pake qris bca dpt cashback 66% (maks cashback 100k) jd total sisanya tinggal 50ribuan ajaaa,klaim promo ap mcd paket ayam nasi minum ribu trs tambah beli paket time ribu ribu bayar pake maks total sisa ribu,neutral,positive
Makin maju bayar tarif trans jogja pake scan Qris🇮🇩 https://t.co/gnuRGiBogd,maju bayar tarif trans jogja pake,positive,positive
/info yg cari t-shirt diskon roughneck lagi cuci gudang sort by price low to high yaa. nanti pas mau checkout klik flik 1-click checkout biar dapet disc 25k (new user website roughneck) nanti pas mau bayar munculnya harga awal sebelum disc tapi pas udah di scan qris/va (cont..) https://t.co/pK8sFmZvSk,info cari diskon cuci gudang price low high pas klik dapet new user website pas bayar harga pas cont,neutral,positive
memulai hari dengan terjebak nunggu teman di tempat sarapan karena nda bisa bayar pake QRIS dan gabawa duit kes lfg ,jebak teman bayar pake gabawa duit,negative,positive
Sobat Shopee! Bayar QRIS pakai ShopeePay! Cashback sampai dengan 80% lho! Cek info lengkapnya di sini ya https://t.co/i63gLnvDcp #Shopeecare #MelayaniDenganSolusi https://t.co/dsyrcYnUR3,sobat bayar cek info lengkap,neutral,positive
BRImo fiturnya mempermudah gue banget apalagi ada fitur Qris sekarang mau bayar apapun lebih mudah dan engga perlu bawa uang cash lagi Valid No Debat deh #BRImoInAja https://t.co/6ZaszBsRo0,gue banget fitur bayar apa mudah bawa uang cash valid debat,positive,positive
help rt thank youuu aku ada layout isa stayc dapet ava jpng bisa bayar via qris dan harga 3000 ajaaa. marieee jajan #zonauang https://t.co/Hid9tRMmP4,thank isa dapet ava bayar via harga jajan,neutral,positive
Shopping OOTD hits di Urban &amp; Co jangan lupa bayarnya pakai AstraPay ya! Caranya mudah banget: 1. Pergi belanja online di website Urban&amp;Co 2. Check out belanjaanmu 3. Pilih payment by Xendit 4. Klik bayar sekarang 5. Selanjutnya pilih E-money/QRIS dan pilih AstraPay https://t.co/Mr7gLD2OaY,urban lupa bayar mudah banget pergi belanja online website check out pilih klik bayar pilih pilih,neutral,positive
Need canva yg murce bayar via qris #zonaba #zonauang,bayar via,neutral,positive
RT WOULD BE APPRECIATED &lt;3 aku ada 4 layout ready stock nih dapet ava png+jpg bisa bayar qris juga untuk harganya khusus wonyoung 2000 hanni sohee dan chaehyun 3000 aja marie jajan #zonauang https://t.co/aiF0HOdiEH,would stock dapet ava bayar harga jajan,neutral,positive
Brum brum brum Program Racing QRIS BTN Mobile datang~ Perbanyak belanja apapun sesuka hati kamu dan bayar pakai QRIS BTN Mobile bisa dapatkan CASHBACK sebesar Rp30.000! Promo sampai 28 Februari 2023 yah! https://t.co/2FNjg48qh5,program racing mobile banyak belanja apa suka hati bayar mobile dapat rp promo februari,neutral,positive
Anak sekolah nonton bioskop dan jajan popcorn di CGV HEMAT PULUAN RIBU karena dapet CASHBACK 50% sampai Rp25.000 ketika bayar pakai QRIS Whiz?!?! Yuk merapat Whizmin spill rahasia hematnya promo pelajar #NobarPelajar di sini! https://t.co/w9uoKstUXW,anak sekolah nonton jajan hemat ribu dapet rp bayar promo ajar,neutral,positive
@ngalammenfess Fyi dari sisiku yang juga pedagang bukan maksudnya gak bener akad jual beli. Tapi terkadang cari uang receh 200 ato 100 itu susah sekarang. Jadi kadang ada stoknya dikit nder. Nah biar ga ribet kembalian besok² sering bayar pake QRIS aja jadi bisa hemat sampe 100 perak pun,dagang maksud bener jual beli terkadang cari uang susah kadang stok dikit ribet kembali besok bayar pake hemat sampe perak,positive,positive
@worksfess Bayar pake apapun klo via app ya minimal pasti bakal ada notif transaksi berhasilnya kk :( Ini Murni salah kakak sendiri yg nekat terima pembayaran QRIS padahal gk ngerti cara kerjanya. Semangat kk semoga jadi pelajaran. https://t.co/O6ymwmfJuR,bayar pake apa via ap minimal transaksi murni salah kakak terima bayar ngerti kerja semangat moga ajar,neutral,positive
@worksfess Ini sih ngescan qris pake qr scanner biasa bukan bukti transaksi bayar. Isinya qris kayak begitu datanya kalo discan fungsinya untuk entry data awal kalo discan pake aplikasi bayar qris,pake qr bukti transaksi bayar isi data fungsi data pake aplikasi bayar,neutral,positive
Cashback 50% QRIS Livin by Mandiri pakai Kartu Kredit ️ Hingga 28 Februari 2023 Minimal transaksi Rp50.000 maksimal Rp25.000 Bayar pakai QRIS dengan sumber dana Kartu Kredit Cashback diberikan ke limit Kartu Kredit hari Jumat minggu berikutnya https://t.co/ljMzTV75po https://t.co/WLV5LPNglK,mandiri kartu kredit februari minimal transaksi rp maksimal rp bayar sumber kartu kredit kartu kredit jumat,neutral,positive
@slmat pgi. *mbeli jruk* mw bayar tunai atau debit? bs pake qris? wow gkbisa dik tunai aja mending [tersenyum] ni 1jt dibayar tunai sahhh [tpuk tangan hadirin] [mmakan sunflower wrwrwr] #SelcaWithBellieslebew https://t.co/pgUD7zlKAA,bayar tunai debit pake tunai mending senyum jt bayar tunai sah tangan makan,negative,positive
rt would be appreciated &lt;3 hi aku membawa layout semi moodboard dapet ava png+jpg bisa bayar via qris dan harganya 2500 aja. available: hanni haerin dan winter marie jajan &lt;3 #zonauang https://t.co/cBjf5TpjpT,would bawa semi dapet ava bayar via harga jajan,neutral,positive
Kulineran jadi lebih hemat bayar dengan scan QRIS di OCTO Mobile! Nikmati cashback 30% untuk setiap pembelian F&amp;B di berbagai merchant favorit terpilih! Saldo jadi makin aman dan traksaksi lebih nyaman karena tinggal scan QRIS lewat OCTO Mobile! Jadi #BeneranHemat! https://t.co/myjGDGQ39o,hemat bayar mobile nikmat beli pilih aman nyaman mobile,positive,positive
butuh canva pro yang bisa bayar pake qris spay #zonauang️ #zonaba #zonajajan,butuh pro bayar pake,neutral,positive
M Banking BCA error disaat yg tdk tepat. Pas mo bayar jajanan pake qris...astagaaaaa. Mana ketinggalan kartunya kebiasaan gak gablek cash dah lah. Ngutang dulu ini mah‍️ https://t.co/po63d1Iovz,eror pas bayar pake cash ngutang,negative,positive
mau bayar pake qris malah error anjirr BCA https://t.co/vGfti5t0ce,bayar pake eror anjir,neutral,positive
Isi pulsa/kuota internet dapet diskon &amp; cashback. Bayar pake QRIS dapet diskon &amp; cashback. Bayar apa aja dapet diskon&amp; cashback. Ngga heran bisa dapet Neo Rewards lebih dari 3 juta. Nabung di Neobank tuh banyak cuannya. Gih buka rekening Neobank di: https://t.co/1eilnrhX2c https://t.co/O38HjGG7Ak,isi internet dapet diskon bayar pake dapet diskon bayar dapet diskon nga heran dapet juta nabung buka rekening,positive,positive
Kukira udh kena taunya belom POV : mau bayar di kafe pake qris https://t.co/LofulrjCEo,udh tau bom bayar pake,neutral,positive
Sekarang jamannya transaksi pakai QRIS. Mau bayar ini dan itu tinggal ngeluarin ponsel kamu scan QR Code trus bayar kelar deh! Begitu juga kalo kamu mau isi pulsa beli paket &amp; bayar tagihan Telkomsel Halo di MyGraPARI makin praktis karena bisa langsung scan pakai QRIS. https://t.co/NuSoisrMXs,transaksi bayar qr code bayar kelar isi pulsa beli paket bayar tagih praktis,neutral,positive
aku butuh spotify murah yang bisa di bayar pake qris #zonauang,butuh murah bayar pake,positive,positive
"@bbycimiw transaksi - Berlaku pakai QRIS di myBCA, BCA mobile, Sakuku - Sudah termasuk pajak dan biaya takeaway  Mohon untuk selalu waspada serta berhati-hati terkait edaran hoax Surat Resmi Kenaikan Tarif Transaksi BCA"" yang disebarkan oleh oknum-oknum penipu yang (3/5) ^Joy""",transaksi laku mobile pajak biaya waspada kait edar hoax surat resmi naik tarif transaksi tipu joy,neutral,positive
Tips Melakukan Pembayaran Belanja Atau Transaksi Dengan QRIS NeoBank Di ... https://t.co/yIyOnJF4qY via @YouTube,tips bayar belanja transaksi via,neutral,neutral
"@KangJuned Hai Sobat BRI, kami informasikan transaksi QRIS dengan kartu kredit sebagai sumber dana dapat dilakukan menggunakan kartu kredit reguler. Fitur ini belum dapat digunakan untuk kartu kredit Co Branding (OVO U Card, Tokopedia Card, Traveloka, BTN dan Pegadaian) (1)",sobat transaksi kartu kredit sumber kartu kredit fitur kartu kredit card card,neutral,positive
"@maspri_joho Hai Sobat BRI, kami informasikan transaksi QRIS dengan kartu kredit sebagai sumber dana dapat dilakukan menggunakan kartu kredit reguler. Fitur ini belum dapat digunakan untuk kartu kredit Co Branding (OVO U Card, Tokopedia Card, Traveloka, BTN dan Pegadaian) (1)",sobat transaksi kartu kredit sumber kartu kredit fitur kartu kredit card card,neutral,positive
"@HaloBCA min mau tanya dong, pas cashback McD Qris 22Feb itu cuman berlaku for 1x transaksi aja yaaa? W 2x transaksi euy.. bcoz baru masuk cashback nya cuman yg transaksi 124k doang..",pas mcd feb cuman laku transaksi transaksi cuman transaksi doang,neutral,positive
"@GoodLifeBCA min mau tanya dong, pas cashback McD Qris 22Feb itu cuman berlaku for 1x transaksi aja yaaa? W 2x transaksi euy.. bcoz baru masuk cashback nya cuman yg transaksi 124k doang..",pas mcd feb cuman laku transaksi transaksi cuman transaksi doang,neutral,positive
"T &amp  C : 📍LEGAL 100% anti minus - minus club! 📍Mendapatkan invoice pada setiap transaksi. 📍Pengerjaan fast respon selagi open  (5 - 60 menit). 📍Payment melalui semua E - Wallet, TF Bank dan juga QRIS.  Order: via twt➘  https://t.co/38YDr927nA Via WA ➘ https://t.co/wCRLrHLCFe",anti minus transaksi respon open menit tf bank order via via,neutral,positive
/tanya yg transaksi mcd jam 4-5 sore pake qris udah ada yg masuk blm gais cbnya?,transaksi mcd jam sore pake,neutral,positive
@HaloBCA apakah transaksi via Qris akan otomatis masuk rekening?,transaksi via otomatis rekening,neutral,positive
UPAYA DUKUNG ELEKTRONIFIKASI TRANSAKSI SLEMAN KENALKAN INTEGRASI QRIS. » PAS TV NEWS https://t.co/oHRI1g9TKK https://t.co/TUH7ASKhNw,upaya dukung transaksi integrasi pas tv news,neutral,neutral
"Barusan transaksi pakai qris kena biaya 0,8% 🤔 emang iya ya sekarang transaksi pakai qris kena biaya ? Minggu kemarin aku transaksi qris gak ada biaya apapun, atau hanya toko ini aja yg nentuin biaya sendiri",barusan transaksi biaya emang transaksi biaya kemarin transaksi biaya apa toko nentuin biaya,neutral,positive
"Like or dislike, aku gak suka pakai QRIS, pertama, belum tentu sinyalku oke saat transaksi. Pernah wkt mau beli buku di Gramedia, smp bbrp menit mau bayar pakai QRIS aja susah. mana loading terus appsnya, lampunya warna biru, akhirnya balik lagi ke konvensional kartu debet ajalah",suka oke sat transaksi wkt beli buku smp brp menit bayar susah biru konvensional kartu,positive,positive
Dia pake wtt saldo melalui Qris dabis aku @/Jinwoniie11  Jangan mau untuk transaksi ke nomor atau qris kalau bukan dari akun aku sendiri.,pake transaksi nomor akun,neutral,positive
"Mau makan ayam ala Korea? Gas langsung ke Moon Chicken! 🍗 Ada diskon 25% untuk pembelian dine-in di Moon Chickecn Hub PIM 3 dan Kemang dengan transaksi pakai QRIS di myBCA, BCA mobile, Sakuku, Debit BCA, dan Kartu Kredit BCA sampai 31 Juli 2023. Info https://t.co/K9axmwT0yJ https://t.co/XIgDy7lH9x",makan ayam korea gas diskon beli hub transaksi mobile debit kartu kredit juli info,neutral,positive
@HaloBCA cashback QRIS Ultah BCA belum saya terima lebih dari 5 hari kerja setelah transaksi. Bagaimana mengurusnya?,terima transaksi,neutral,positive
"@bank_jateng Min, baru sj saya melakukan transaksi via QRIS Bima Mobile. Namun, saldo saya terpotong 2 kali. Mohon solusi",transaksi via mobile solusi,neutral,positive
"@salmanbiroe Parahnya lagi kmrin temenku beli hp di ibox, pembayaran dngan scan Qris, dimana transaksi 20 jutaan. Dan pembayarannya nyangkut alhasil temenku terpaksa nunggu 1 jam di ibox nunggu uangnya masuk 🤧",parah kmrin temenku beli hp bayar mana transaksi nyangkut alhasil temenku paksa jam uang,negative,positive
"Dear @Indomaret , ini kenapa dah gw scan qris dana dari kemaren kagak masuk masuk. Pas ku cek lagi hari ini tertulis data transaksi tidak ditemukan. Aneh banget. Udah send keluhan ke gmail isaku kagak di respon respon. https://t.co/qRrSBySSe6",kemaren pas ku cek data transaksi temu aneh banget keluh respon,negative,positive
Dear @Indomaret ini kenapa dah gw scan qris dana dari kemaren kagak masuk masuk. Pas ku cek lagi hari ini tertulis data transaksi tidak ditemukan. Aneh banget. Udah send keluhan ke gmail isaku kagak di respon respon. https://t.co/qRrSBySSe6,kemaren pas ku cek data transaksi temu aneh banget keluh respon,negative,positive
"Mereka dibekali pengetahuan, dan tentu saja praktek, bagaimana menggunakan QRIS ini dalam setiap transaksi yang mereka lakukan: mau berbelanja, mau donasi dan bersedekah sekalipun, bisa dilakukan melalui QRIS. https://t.co/7pAOutKaVX",praktek transaksi laku belanja,neutral,positive
"sumpah ya bca lagi kacau bgt akhir2 ini, transaksi qris di alfa/indo suka gagal &amp  tetep kepotong saldo nya, trus layanan bi-fast juga lagi maintenance lama bgt dari kemaren2 hadeh nyusahin",sumpah kacau transaksi suka gagal tetep potong layan maintenance kemaren nyusahin,negative,positive
"@tanyarlfes Aku make Mitra Bukalapak nder. udah lama sih make itu, habis itu ada fitur QRIS iseng daftar dan bisa. Tapi minusnya di qrisnya namanya MitraBL(nomer random) gitu, jadi bukan nama usahamu. Enaknya mdr 0%, jadi tiap transaksi gk ada potongan.",make mitra make habis fitur iseng daftar nama nama enak transaksi potong,negative,positive
"@goostastu Hi Kak, untuk keluhan QRIS biar cepet ditangani. Yuk hubungi layanan Live Chat kami, caranya gampang:  1.Buka aplikasi DANA 2.Masuk ke menu Riwayat/History"" 3.Pilih transaksi yang ingin dikeluhkan 4.Lihat pada sisi kanan pojok bawah 5.Klik menu ""CHAT"" Thanks -YR-""",keluh cepet tangan hubung layan chat gampang buka aplikasi pilih transaksi sisi kanan klik chat,neutral,positive
"@goesbrrbrr Hi Kak, untuk pertanyaan Qris yg diajukan, aku infoin transaksi Qris dapat menggunakan pembayaran kartu debit/kredit yang sudah terbinding dengan DANA. Thanks -YU-",aju transaksi bayar kartu,negative,positive
"@HOlxtoto Hi Kak, aku phm dgn keluhan kamu. Untuk keluhan transaksi QRIS, saat ini msh dlm penanganan tim resolusi kami ya. Mohon menunggu proses dan updatenya dari tim resolusi kami ya Kak. Thanks -YR-",phm keluh keluh transaksi sat tangan tim resolusi proses tim resolusi,neutral,positive
"@kurokicchi Hai, Kak @kurokicchi. Masih ada Kak untuk promo CGV menggunakan QRIS blu dengan mendapatkan cashback maksimal Rp18.000,- dan minimum pembelian Rp45.000,- dalam 1 kali transaksi, per user, per minggu ya Kak.",promo maksimal rp beli rp transaksi user,neutral,positive
"Bonus hingga 10.000 BNI Poin+ untuk transaksi dengan Kartu Debit BNI, Bonus Voucher MAP untuk transaksi dengan QRIS BNI Mobile Banking, Bonus tiket pesawat domestik untuk transaksi dengan Kartu Debit Co-Brand Batik &amp  Garuda, Voucher MAP Rp50 Ribu dan KFC Rp20 Ribu untuk aktivasi",bonus poin transaksi kartu debit bonus voucher map transaksi mobile bonus tiket pesawat transaksi kartu debit voucher map rp ribu rp ribu,neutral,positive
"Sudah ada rencana untuk nonton film? Nggak usah takut mahal! Karena kamu bisa mendapatkan diskon diskon Rp15.000,- untuk pembelian tiket nonton dengan transaksi menggunakan kartu debit QRIS BNI Mobile Banking.  . Info selengkapnya https://t.co/A6REtz7Fvk @cinepolisid https://t.co/lUV7n9jsKq",rencana nonton film takut mahal diskon rp beli tiket nonton transaksi kartu debit mobile info lengkap,negative,positive
@i_m_mortal_ cashback QRIS Line Bank bulan ini cair nih yg kemarin transaksi 🤑 https://t.co/UCqWIN3EQG,line bank cair kemarin transaksi,neutral,positive
@ameliarishyyyy @i_m_mortal_ *transaksi produk apapun diblibli bayar di QRIS Line Bank *kemungkinan udah habis kuotanya kak😫,transaksi produk apa bayar line bank habis,neutral,positive
"@wyn_as12 Hi Kak, maaf sdh bikin kamu gak nyaman. Utk keluhan transaksi QRIS yg blm berhasil. Sdh aku infoin via DM ya kak, silakan di cek ya. Thanks -LH-",nyaman keluh transaksi hasil via cek,neutral,positive
"@aldi_myola Sangat disayangkan sekali atas kendalanya.  Apabila yang dimaksud adalah promo cashback 66% maka mohon dapat informasikan terlebih dahulu nominal transaksi yang dilakukan serta apakah Bapak Aldi melakukan transaksi tersebut menggunakan debit di mesin EDC, QRIS atau (1/2) ^Zayn",promo nominal transaksi transaksi debit mesin,neutral,positive
"Yuk, jajan di Jiwa Group buat dapetin diskonnya!  *Tanpa minimal transaksi. Periode promo hingga 17 Mei 2023 *Berlaku setiap tanggal 25-27 hingga bulan Mei 2023  #neobank #BuatSemua #BankNeoCommerce #QRIS",jajan jiwa dapetin minimal transaksi periode promo mei laku mei,neutral,positive
@huntingreceh Km transaksi qris nya hari apa dan jam brp ka?,transaksi jam brp,neutral,positive
@HaloBCA Saya transaksi sebesar 153.500 menggunakan QRIS,transaksi,neutral,positive
"@KFCINDONESIA saya mau kompain nihh, Saya melakukan pemesanan melalui apk kfc ku.Pembayaran menggunakan bca qris dan tbtb tidak ada petir dan hujan transaksi saya di batalkan. sudah 2x24jam dana masih belum kembali.  tolong gimana nihh kfc dana saya?? Tlng kalau bikn apk jangn buat pusing orng",apk tbtb petir hujan transaksi batal jam tolong apk pusing orng,negative,positive
eh tapi kalau ada yang mau pake jasa scan qris gopay atau dana misi jago gojek atau cairin voucher cashback dana/gopay bisa lgsg dm ajaaa masih ttp aku layani kok tenang ajaaa feenya murmerr,pake jasa misi jago gojek voucher lgsg layan tenang,neutral,positive
"kemarin sempet pake qris @jadijago berkali2. ternyata belum reliable, karena sempet ada 2x transaksi dan gak ada success screennya. di riwayat transaksi juga ga kecantum tapi saldo gue kepotong dua kali.",kemarin sempet pake kali sempet transaksi transaksi gue potong,negative,positive
jujur gue ga akan mau pakai qris jago lagi dalam waktu dekat dan buat transaksi berkali2 dalam interval waktu yg berdekatan. belum reliable dan gue malah yg ribet jadinya ngurus2 lebih lanjut.,jujur gue jago transaksi kali gue ribet,negative,positive
"@anggrekayu2 Hi Kak Anggrek, aku phm dgn keluhan kamu, utk keluhan transaksi QRIS, silakan cek DM kamu ya Kak. Thanks -PF-",phm keluh keluh transaksi cek,neutral,positive
pinjam ht #zonauang yg pakai bca abis payment qris kalau kaya gini transaksi berhasil apa ngga? https://t.co/PU3U0EUiQb,pinjam abis kaya gin transaksi hasil nga,neutral,positive
