Komentar,Sentiment
Cashback 50% QRIS Livin by Mandiri pakai Kartu Kredit ️ Hingga 28 Februari 2023 Minimal transaksi Rp50.000 maksimal Rp25.000 Bayar pakai QRIS dengan sumber dana Kartu Kredit Cashback diberikan ke limit Kartu Kredit hari Jumat minggu berikutnya https://t.co/ljMzTV75po https://t.co/WLV5LPNglK,neutral
@slmat pgi. *mbeli jruk* mw bayar tunai atau debit? bs pake qris? wow gkbisa dik tunai aja mending [tersenyum] ni 1jt dibayar tunai sahhh [tpuk tangan hadirin] [mmakan sunflower wrwrwr] #SelcaWithBellieslebew https://t.co/pgUD7zlKAA,neutral
rt would be appreciated &lt;3 hi aku membawa layout semi moodboard dapet ava png+jpg bisa bayar via qris dan harganya 2500 aja. available: hanni haerin dan winter marie jajan &lt;3 #zonauang https://t.co/cBjf5TpjpT,neutral
Kulineran jadi lebih hemat bayar dengan scan QRIS di OCTO Mobile! Nikmati cashback 30% untuk setiap pembelian F&amp;B di berbagai merchant favorit terpilih! Saldo jadi makin aman dan traksaksi lebih nyaman karena tinggal scan QRIS lewat OCTO Mobile! Jadi #BeneranHemat! https://t.co/myjGDGQ39o,positive
butuh canva pro yang bisa bayar pake qris spay #zonauang️ #zonaba #zonajajan,neutral
M Banking BCA error disaat yg tdk tepat. Pas mo bayar jajanan pake qris...astagaaaaa. Mana ketinggalan kartunya kebiasaan gak gablek cash dah lah. Ngutang dulu ini mah‍️ https://t.co/po63d1Iovz,negative
mau bayar pake qris malah error anjirr BCA https://t.co/vGfti5t0ce,negative
Isi pulsa/kuota internet dapet diskon &amp; cashback. Bayar pake QRIS dapet diskon &amp; cashback. Bayar apa aja dapet diskon&amp; cashback. Ngga heran bisa dapet Neo Rewards lebih dari 3 juta. Nabung di Neobank tuh banyak cuannya. Gih buka rekening Neobank di: https://t.co/1eilnrhX2c https://t.co/O38HjGG7Ak,positive
Kukira udh kena taunya belom POV : mau bayar di kafe pake qris https://t.co/LofulrjCEo,neutral
Sekarang jamannya transaksi pakai QRIS. Mau bayar ini dan itu tinggal ngeluarin ponsel kamu scan QR Code trus bayar kelar deh! Begitu juga kalo kamu mau isi pulsa beli paket &amp; bayar tagihan Telkomsel Halo di MyGraPARI makin praktis karena bisa langsung scan pakai QRIS. https://t.co/NuSoisrMXs,positive
aku butuh spotify murah yang bisa di bayar pake qris #zonauang,neutral
"@bbycimiw transaksi - Berlaku pakai QRIS di myBCA, BCA mobile, Sakuku - Sudah termasuk pajak dan biaya takeaway  Mohon untuk selalu waspada serta berhati-hati terkait edaran hoax Surat Resmi Kenaikan Tarif Transaksi BCA"" yang disebarkan oleh oknum-oknum penipu yang (3/5) ^Joy""",negative
Tips Melakukan Pembayaran Belanja Atau Transaksi Dengan QRIS NeoBank Di ... https://t.co/yIyOnJF4qY via @YouTube,neutral
"@KangJuned Hai Sobat BRI, kami informasikan transaksi QRIS dengan kartu kredit sebagai sumber dana dapat dilakukan menggunakan kartu kredit reguler. Fitur ini belum dapat digunakan untuk kartu kredit Co Branding (OVO U Card, Tokopedia Card, Traveloka, BTN dan Pegadaian) (1)",neutral
"@maspri_joho Hai Sobat BRI, kami informasikan transaksi QRIS dengan kartu kredit sebagai sumber dana dapat dilakukan menggunakan kartu kredit reguler. Fitur ini belum dapat digunakan untuk kartu kredit Co Branding (OVO U Card, Tokopedia Card, Traveloka, BTN dan Pegadaian) (1)",neutral
"@HaloBCA min mau tanya dong, pas cashback McD Qris 22Feb itu cuman berlaku for 1x transaksi aja yaaa? W 2x transaksi euy.. bcoz baru masuk cashback nya cuman yg transaksi 124k doang..",neutral
"@GoodLifeBCA min mau tanya dong, pas cashback McD Qris 22Feb itu cuman berlaku for 1x transaksi aja yaaa? W 2x transaksi euy.. bcoz baru masuk cashback nya cuman yg transaksi 124k doang..",neutral
"T &amp  C : 📍LEGAL 100% anti minus - minus club! 📍Mendapatkan invoice pada setiap transaksi. 📍Pengerjaan fast respon selagi open  (5 - 60 menit). 📍Payment melalui semua E - Wallet, TF Bank dan juga QRIS.  Order: via twt➘  https://t.co/38YDr927nA Via WA ➘ https://t.co/wCRLrHLCFe",neutral
/tanya yg transaksi mcd jam 4-5 sore pake qris udah ada yg masuk blm gais cbnya?,neutral
@HaloBCA apakah transaksi via Qris akan otomatis masuk rekening?,neutral
UPAYA DUKUNG ELEKTRONIFIKASI TRANSAKSI SLEMAN KENALKAN INTEGRASI QRIS. » PAS TV NEWS https://t.co/oHRI1g9TKK https://t.co/TUH7ASKhNw,neutral
"Barusan transaksi pakai qris kena biaya 0,8% 🤔 emang iya ya sekarang transaksi pakai qris kena biaya ? Minggu kemarin aku transaksi qris gak ada biaya apapun, atau hanya toko ini aja yg nentuin biaya sendiri",neutral
"Like or dislike, aku gak suka pakai QRIS, pertama, belum tentu sinyalku oke saat transaksi. Pernah wkt mau beli buku di Gramedia, smp bbrp menit mau bayar pakai QRIS aja susah. mana loading terus appsnya, lampunya warna biru, akhirnya balik lagi ke konvensional kartu debet ajalah",negative
Dia pake wtt saldo melalui Qris dabis aku @/Jinwoniie11  Jangan mau untuk transaksi ke nomor atau qris kalau bukan dari akun aku sendiri.,neutral
"Mau makan ayam ala Korea? Gas langsung ke Moon Chicken! 🍗 Ada diskon 25% untuk pembelian dine-in di Moon Chickecn Hub PIM 3 dan Kemang dengan transaksi pakai QRIS di myBCA, BCA mobile, Sakuku, Debit BCA, dan Kartu Kredit BCA sampai 31 Juli 2023. Info https://t.co/K9axmwT0yJ https://t.co/XIgDy7lH9x",neutral
@HaloBCA cashback QRIS Ultah BCA belum saya terima lebih dari 5 hari kerja setelah transaksi. Bagaimana mengurusnya?,neutral
"@bank_jateng Min, baru sj saya melakukan transaksi via QRIS Bima Mobile. Namun, saldo saya terpotong 2 kali. Mohon solusi",negative
"@salmanbiroe Parahnya lagi kmrin temenku beli hp di ibox, pembayaran dngan scan Qris, dimana transaksi 20 jutaan. Dan pembayarannya nyangkut alhasil temenku terpaksa nunggu 1 jam di ibox nunggu uangnya masuk 🤧",negative
"Dear @Indomaret , ini kenapa dah gw scan qris dana dari kemaren kagak masuk masuk. Pas ku cek lagi hari ini tertulis data transaksi tidak ditemukan. Aneh banget. Udah send keluhan ke gmail isaku kagak di respon respon. https://t.co/qRrSBySSe6",negative
Dear @Indomaret ini kenapa dah gw scan qris dana dari kemaren kagak masuk masuk. Pas ku cek lagi hari ini tertulis data transaksi tidak ditemukan. Aneh banget. Udah send keluhan ke gmail isaku kagak di respon respon. https://t.co/qRrSBySSe6,negative
"Mereka dibekali pengetahuan, dan tentu saja praktek, bagaimana menggunakan QRIS ini dalam setiap transaksi yang mereka lakukan: mau berbelanja, mau donasi dan bersedekah sekalipun, bisa dilakukan melalui QRIS. https://t.co/7pAOutKaVX",neutral
"sumpah ya bca lagi kacau bgt akhir2 ini, transaksi qris di alfa/indo suka gagal &amp  tetep kepotong saldo nya, trus layanan bi-fast juga lagi maintenance lama bgt dari kemaren2 hadeh nyusahin",negative
"@tanyarlfes Aku make Mitra Bukalapak nder. udah lama sih make itu, habis itu ada fitur QRIS iseng daftar dan bisa. Tapi minusnya di qrisnya namanya MitraBL(nomer random) gitu, jadi bukan nama usahamu. Enaknya mdr 0%, jadi tiap transaksi gk ada potongan.",neutral
"@goostastu Hi Kak, untuk keluhan QRIS biar cepet ditangani. Yuk hubungi layanan Live Chat kami, caranya gampang:  1.Buka aplikasi DANA 2.Masuk ke menu Riwayat/History"" 3.Pilih transaksi yang ingin dikeluhkan 4.Lihat pada sisi kanan pojok bawah 5.Klik menu ""CHAT"" Thanks -YR-""",neutral
"@goesbrrbrr Hi Kak, untuk pertanyaan Qris yg diajukan, aku infoin transaksi Qris dapat menggunakan pembayaran kartu debit/kredit yang sudah terbinding dengan DANA. Thanks -YU-",neutral
"@HOlxtoto Hi Kak, aku phm dgn keluhan kamu. Untuk keluhan transaksi QRIS, saat ini msh dlm penanganan tim resolusi kami ya. Mohon menunggu proses dan updatenya dari tim resolusi kami ya Kak. Thanks -YR-",neutral
"@kurokicchi Hai, Kak @kurokicchi. Masih ada Kak untuk promo CGV menggunakan QRIS blu dengan mendapatkan cashback maksimal Rp18.000,- dan minimum pembelian Rp45.000,- dalam 1 kali transaksi, per user, per minggu ya Kak.",neutral
"Bonus hingga 10.000 BNI Poin+ untuk transaksi dengan Kartu Debit BNI, Bonus Voucher MAP untuk transaksi dengan QRIS BNI Mobile Banking, Bonus tiket pesawat domestik untuk transaksi dengan Kartu Debit Co-Brand Batik &amp  Garuda, Voucher MAP Rp50 Ribu dan KFC Rp20 Ribu untuk aktivasi",neutral
"Sudah ada rencana untuk nonton film? Nggak usah takut mahal! Karena kamu bisa mendapatkan diskon diskon Rp15.000,- untuk pembelian tiket nonton dengan transaksi menggunakan kartu debit QRIS BNI Mobile Banking.  . Info selengkapnya https://t.co/A6REtz7Fvk @cinepolisid https://t.co/lUV7n9jsKq",neutral
@i_m_mortal_ cashback QRIS Line Bank bulan ini cair nih yg kemarin transaksi 🤑 https://t.co/UCqWIN3EQG,neutral
@ameliarishyyyy @i_m_mortal_ *transaksi produk apapun diblibli bayar di QRIS Line Bank *kemungkinan udah habis kuotanya kak😫,neutral
"@wyn_as12 Hi Kak, maaf sdh bikin kamu gak nyaman. Utk keluhan transaksi QRIS yg blm berhasil. Sdh aku infoin via DM ya kak, silakan di cek ya. Thanks -LH-",neutral
"@aldi_myola Sangat disayangkan sekali atas kendalanya.  Apabila yang dimaksud adalah promo cashback 66% maka mohon dapat informasikan terlebih dahulu nominal transaksi yang dilakukan serta apakah Bapak Aldi melakukan transaksi tersebut menggunakan debit di mesin EDC, QRIS atau (1/2) ^Zayn",neutral
"Yuk, jajan di Jiwa Group buat dapetin diskonnya!  *Tanpa minimal transaksi. Periode promo hingga 17 Mei 2023 *Berlaku setiap tanggal 25-27 hingga bulan Mei 2023  #neobank #BuatSemua #BankNeoCommerce #QRIS",neutral
@huntingreceh Km transaksi qris nya hari apa dan jam brp ka?,neutral
@HaloBCA Saya transaksi sebesar 153.500 menggunakan QRIS,neutral
"@KFCINDONESIA saya mau kompain nihh, Saya melakukan pemesanan melalui apk kfc ku.Pembayaran menggunakan bca qris dan tbtb tidak ada petir dan hujan transaksi saya di batalkan. sudah 2x24jam dana masih belum kembali.  tolong gimana nihh kfc dana saya?? Tlng kalau bikn apk jangn buat pusing orng",negative
eh tapi kalau ada yang mau pake jasa scan qris gopay atau dana misi jago gojek atau cairin voucher cashback dana/gopay bisa lgsg dm ajaaa masih ttp aku layani kok tenang ajaaa feenya murmerr,neutral
"kemarin sempet pake qris @jadijago berkali2. ternyata belum reliable, karena sempet ada 2x transaksi dan gak ada success screennya. di riwayat transaksi juga ga kecantum tapi saldo gue kepotong dua kali.",negative
jujur gue ga akan mau pakai qris jago lagi dalam waktu dekat dan buat transaksi berkali2 dalam interval waktu yg berdekatan. belum reliable dan gue malah yg ribet jadinya ngurus2 lebih lanjut.,negative
"@anggrekayu2 Hi Kak Anggrek, aku phm dgn keluhan kamu, utk keluhan transaksi QRIS, silakan cek DM kamu ya Kak. Thanks -PF-",neutral
pinjam ht #zonauang yg pakai bca abis payment qris kalau kaya gini transaksi berhasil apa ngga? https://t.co/PU3U0EUiQb,neutral
Btw Kompas lagi ada promo langganan 12 bulan jadi Rp 100rb. Kalau bayar pakai QRIS via Bank Neo bisa jadi Rp 95rb. Langganan jurnalisme berkualitas sebulan nggak sampai Rp 8rb https://t.co/igMWv7Ljsq,neutral
a retweet will be highly appreciated Selamat pagi! Kali ini aku mau jual layout gg &amp; 1 ulzzang dibawah dgn harga bayar seikhlasnya bisa qris yaa ‍️ gg ava jpg ulzzang ava png only . yg berminat boleh ketuk dm ku https://t.co/sjpd8aHo8Q #zonauang #zonajajanᅠ,neutral
Sudah bisa pakai Qris. Jadi kalau lupa bawa cash buat infaq/sedekah bisa langsung scan aja. Lokasi: Masjid Babul Hafazhah Jl DI Panjaitan https://t.co/iTcJ1Ntc9O,neutral
"@jadijago No. Tiket 204289964. Sudah cek ke pihak toko, ternyata mereka pun hanya terima uangnya 1x, tp saya kepotong 2x.  Baru tadi pagi muncul di riwayat transaksi dan ada 2x pembayaran qris, tapi yang diterima pihak toko cuma 1x",neutral
"Yuk, nikmati cemilan manis dari Bonjour Bakery! Nikmati diskon hingga Rp100 ribu transaksi pakai QRIS di myBCA/BCA mobile/Sakuku atau Debit BCA dan Kartu Kredit Berlogo BCA Card. Ajak teman-temanmu buat beli karena promonya cuma sampai 24 Mei 2023. Info https://t.co/XUCqR924lx https://t.co/d3fyvS7YDw",neutral
"Gandeng BI, Xplorin Gaungkan Transaksi Digital Berbasis QRIS di WSBK 2023 https://t.co/L8BanUy7It",neutral
"WSBK 2023, KPW Bank Indonesia NTB - Xplorin Dorong Pemanfaatan Transaksi Pembayaran Digital Berbasis QRIS https://t.co/uU88fAALVa",neutral
"Gandeng Xplorin, BI NTB Dorong Transaksi QRIS di World Superbike 2023 https://t.co/wE6a9DY55y",neutral
"Hari ini UMKM tersenyum... Melalui kegiatan Deklarasi Kolaborasi Gerakan Dukung UMKM hari ini, para pelaku UMKM mulai terbiasa menggunakan pembayaran digital. Ditunjukkan dengan 2300 transaksi menggunakan QRIS seharga Rp1 dan 2000 transaksi UMKM di luar Rp1. https://t.co/OMlArKYbd2",neutral
"Dapatkan CASHBACK 70% setiap transaksi pembelian tiket nonton dan jajan menggunakan QRIS Blu di Cinépolis Cinemas!  Jangan sampai kehabisan, ayo serbu promonya di Cinépolis Cinemas terdekat sekarang~ 💃🏻🕺🏻  #TemukanKebahagiaanmu #CinepolisID https://t.co/P2nydwL4sX",neutral
Kebalik justru aku kalau uang di rekening suka maen bayar bayar scan scan qris isi sopipey buat belanja atau sopipud. Emg paling aman tarik semua simpen ditempat yang effort kalau mau ambil,positive
"@PT_Transjakarta halo min. Saya tadi topup emoney di Halte TJ Depkes menggunakan QRIS OVO. Saldo OVO saya sudah terpotong, tapi transaksi gagal dan saldo Flazz saya tidak bertambah. Mohon bantuannya https://t.co/jkWVYVi5Vx",neutral
"@sunflowieberry melakukan transaksi transfer menggunakan nomor rekening sebagai rekening tujuan dan transaksi bayar belanja dengan scan QRIS di BCA mobile.”  Jika ada hal lain yang ingin ditanyakan, Bpk bisa DM/Mention kembali ke Twitter @HaloBCA atau menghubungi via aplikasi (2/3) ^Alba",neutral
"Transaksi Terus Bertambah, QRIS Jadi Penyelamat UMKM saat Pandemi https://t.co/NnNyFF2JxF",neutral
Yg bikin sedih tu bayar QRIS buat ongkir ems.. Jadi nya bayar double buat ongkir ems nya karena pihak sana ngerasa uangnya ga ada masuk ke QRIS mereka Walaupun bukti di dana diriku udah berhasil transaksinya ,negative
@convomf biasanya sih aku yg talangin dg bayar qris dia bayar cash ke aku shg aku tdk perlu ke atm ,neutral
"@convomf Aku tim cashless.  Menurutku, kalo minta tolong (karna mungkin bayarnya cash), trus abis itu langsung diganti tf atau ewallet masih fine2 aja. Kecuali kalo abis ditalangin sengaja lupa dan ga bayar.  Trus buat yg bilang kalo tf kecil gabisa ditarik, kan bisa dipake transaksi qris",negative
"@leeehovo @discountfess mau tanya kak, asal scan app nya terus bisa transaksi reward pake qris yaa?",neutral
@convomf lha knp dia cashless tp ga scan qris sendiri dahh padahal skrg scan qris bisa lgsg dr mbanking:(,neutral
kalo tinggal scan qris napa harus ditalangin dulu? langsung suruh temennya bayar sendiri aja,negative
yg suka cashless dgn alasan apapun mending bawa duit cash juga deh walaupun bisa pake qris kita gatau bisa aja tbtb ada gangguan dan harus bayar cash. aku pernah pen beli esteh pake spay udh berkali² scan ehh gabisa mana udh dibikinin tuh minumnya untung bawa cash ,neutral
"pokoknya tiap transaksi kalo bisa bayar pake kartu kridit, pasti w pake. tambah lagi livin mandiri bisa qris pake sumber dananya cc, luv banget🫶🏻 kuncinya adalah tiap bayar tagihan selalu full. pake cc sgt membantu cashflow w terjaga dgn baik.",positive
Segera Hadir! Nikmati pembayaran yang lebih mudah dengan QRIS Scan to Pay. #speakapp #web3 #blockchain #messenger #privacy #qris #payment https://t.co/myQkeQ2h2V,neutral
"@convomf Tolong usahain tetap pegang uang cash ya, karena gak semua transaksi bisa scan qris. Takut hilang? Bawa receh aja, taruh di dompet, dompetnya taruh jok motor atau tas. buat kamu sendiri juga kalau ada musibah bensin habis tengah jalan, atau ban bocor tengah malam.",negative
"@Blubcadigital23 blu BCA hari ini kenapa , saya ga bisa melakukan transaksi mulai dari payment qris hingga trf",neutral
"@BNI Pembayaran tiket KAI @KAI121 via QRIS BNI alhamdulilah TIDAK JELAS sampai sekarang. Karena itu saya sampaikan kepada anak-anak agar tidak lagi menggunakan pembayaran QRIS BNI. Apalagi transaksi @PosIndonesia tidak kunjung jelas juga. Jadi, untuk sementara agak konvensional.",negative
"[HELP RT]   guys untuk transaksi yang menggunakan QRIS di bawah, selain akun @terqeren @troulgh dan pacar saya @bakloor (BA CV) itu bukan kami ya.  thankyou.",neutral
Ndes ingfo gacoan majapahit ada colokan ga ya? sama bisa bayar pake qris ga? https://t.co/WjsEnLZbDY,neutral
"@Stefanusgading Hi Kak Gadingg, aku paham dengan keluhan kamu. Untuk keluhan transaksi QRIS yamg di keluhkan, silakan cek DM ya untuk informasi lebih lanjut. Thanks -YP-",neutral
