,No,Komentar,Label,Hasil Klasifikasi,Kategori_0,Kategori_1,Kategori_2,TP_0,FP_0,TN_0,FN_0,TP_1,FP_1,TN_1,FN_1,TP_2,FP_2,TN_2,FN_2
4176,52,merchant qris umi mdrnya transaksi qris bawah rp merchant kena mdr terims,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
7514,53,optimalisasi qris laku usaha hinga masyarakat mudah transaksi uang dagang mudah monitor hasil mutasi penjualanya praktis cepat,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
2850,54,minimal qris livin pending kah barusan langgan tf qris masuk riwayat transaksi potong masuk saldo tolong respons keluh minimal terima,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3241,55,mudah cepat tunai bcr kenyat brp persen dagang transaksi qris sept dagang gado qris laku transaksi tradisional tunai nyata,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
6741,56,gojek kenal mudah sedekah digital qris kotak infaq nu com,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2903,57,show sr bayar qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
7318,58,qris bayar masuk nya ewalet,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7493,59,belanj qris bc gagal lfanya transaksi gagal sedot komplain urus gd solusi mas gabti nungu gaji kasi butuh,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
7538,60,manfat transaksi mengunakan qris,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
996,61,disclaimer sering transaksi cashles kota handphone nonnfc qris makenya tonedeaf maksain orang gues orang indo tabung bank orang mayoritas hpnya kentang gd nfcnya,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
394,62,pilih mengunakan shope partner client transaksi jalan payment qris acept terima,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
1169,63,qris cangih banget transaksi bank edc stiker tempel sat biaya tambah,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
3443,64,bus trans metro pasundan murah terminal leuwipanjang dago ribu rupiah fasilitas terminal leuwipanjang nyaman bayar uang elektronik qris,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
6044,65,bi transaksi qris lonjak april atm laku,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5967,66,tementemen hatihati please benar error transaksi qris punya masuk astaghfirulah,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
1727,67,terima hubung sosial media kredivo akun putra aktif milik limit cukup kakak transaksi mengunakan metode pembayara qris kakak ikut langkahlangkah transaksi mengunakan qr,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3684,68,bayar qris kartu kredit brimo gampang detik,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6805,69,bpd bal sasar transaksi bayar daring qris pasar,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
1981,70,wih konser ims infinite live semangat banget nyanyi bareng rizki febrian tinggal beli tiket bundle promo spesial diskon ims surabaya danamon qris dbank pro beli tiket ots,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
7161,71,mudah transaksi nasabah bsb luncur aplikasi qris,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
6681,72,unika kampus terapkanqris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
4587,73,atm kadaluarsa alhasil transaksi ngandelin qris pas minimart merah oren bilang kasir qris kris mas mbak kris kyuris kiris ngmngnya ngenyek banget,Negatif,Positif,FP,TN,FN,,1,,,,,1,,,,,1
5495,74,bayar qris dilebihin top ewalet potong biaya admin,Negatif,Positif,FP,TN,FN,,1,,,,,1,,,,,1
1754,75,beda handphone tunai brp negara ln beli jalan pasar thrift market qris ngescan ln bnrn tinggal tap detik detik aple watch,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6755,76,dorong implementasi qris ekosistem didik,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1155,77,scan qris merek handphone bayar jam,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1721,78,bpkibu transaksi mudah belanja ofline qris belanja daring debit virtual tarik tunai kartu livin fitur livin lai klik,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
5586,79,tangap perihal akun kena brute force transaksi qris laku,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3801,80,bismilah ayo lengkapin infaq subuh qris sisa rp link doku shopepay yatim dhuafa muslim minoritas konfirmasi klik,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
2605,81,ributransaksi bebas baya qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2155,82,merchant kena potong biaya konsumen bayar qris salah aneh beban konsumen,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
1276,83,dongkrak transaksi umkm jokowi terap kartu kredit perintah qris kuat,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
295,84,sobat transaksi qris bayar otomatis rekening merchant transaksi jam wib transaksi jam wib masuk rekening,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
2243,85,bayar qris notif nama lengkap bodoh,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
7052,86,rumah sakit perintah provinsi bal rs bal mandara rs mata bal mandara rs jiwa provindi bal puri raharja delengkapi transaksi digital qris qr code indonesia indonesian,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2192,87,senang banget jajan bayar qris danamon cashback,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6935,88,sel akun shared netflix gopaydanaovo akun verif scan qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7178,89,catu agustus diresmikanya kecak adaptasi new normal digitalisasi sistem bayar bas qris quick respons code indonesian standard tempat uluwatu bal gubernur bal wayan koster,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
265,90,bal beli souvenir toko jalan legi bayar qris salah toko bayar rekening nama orang iya orang ingris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4334,91,indoapril alfa bayar make qris gas,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3122,92,sayang kendala bpkibu langgan proses setlement transaksi qris statis otomatis kredit rekening setlement merchant kalender terima erwan,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
2421,93,telkomsel provider favorit bikin aktivitas hepi beli kuota orbit paket internet roamax umroh diskon rp ribu bayar qris livin mandiri ayo beli indomaret periode juli september,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5443,94,qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
4386,95,mots drop tmi duluan bayar qris alfamart,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3389,96,al qris acount emailpasword go gren masuk mtht random pesan direct message,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2997,97,kfc rp scan qris aplikasi jenius agustus laku transaksi paket penguna jenius periode program,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5987,98,sumpa malu banget mba sushi tei nya ngasi scan menu bingung scan tau nge scan nya qris anjeng,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
1179,99,coba grafik alam pribadi sat ajar sistem bayar mudah lihat diagram gpn uintegrasi proses transaksi indonesia backend ritel mis transaksi kartu qris scannfc dibocorin sylv,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
359,100,habis nya syukur hasya laundry gendeng banget cok ribu kilo fre jemput hari hari bayar qris ahdgueuehsje love hasya laundry savior,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
2632,101,asalamualaikum ade mohon maf ketidaknyamananya informasi transaksi qris masuk rekening kerja transaksi nyata hasil,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
6942,102,menang hadiah scan qris simobiplus bayar belanjan jajan merchant favorit ayo bikin transaksi scan qris simobiplus raih sempat informasi sk laku,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2310,103,bayar ewalet bayar suruh bayar qris bjingan,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
7110,104,ngamplop nya qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
5424,105,qris toko shope bayar qris shopepay,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6414,106,qris ungul indonesia maju,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
1270,107,kerja qris pilih penguna layan transaksi bayar lintas batas,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4689,108,agustus transaksi bifast bank mandiri tembus juta transaksi tumbuh capai yoy transaksi qris kalah terus tumbuh signifikan,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
6671,109,bi jabar sosialisasi qris digitalisasi bayar,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6276,110,sobat libur singapura bingung nukar rupiah brimo transaksi langsung rumit fitur qris brimo scan qris tanda nets payment otomatis konfirmasi transaksi mudah serba,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
1128,111,bayar qris tunai mas,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
7408,112,wta bayar qris kayak,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3045,113,line bank nonton cashback minimal transaksi qris nobu laku desember way nontonya cepol tulisanya tau isa cgv xi,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5454,114,lucu banget nenek bayar qris,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
2300,115,pola gacor deposit rp layan jam transaksi cepat praktis qris bonus event hari,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
4093,116,bayar qris tibatiba jaring jelek langsung panik,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
176,117,kaumkaum kepedean kayak mah transaksi qris seabank like balas qris seabank sebanyakbanyaknya dapat untung,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7560,118,wow transaksi qris tagih,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
6468,119,fitur scan qr code indonesia btnd qris qucik respons indonesia standard resethapus perangkat menu ting cek langsung status adu aplikasi paytren menu bantu informasi daftar cek link dibio,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4425,120,bayar dindomaret klik de qris de bayar,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5618,121,lapor modal bukti transaksi qris inget nomor lambung chat layan langgan barang keren,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
3288,122,bayar qris cicil transaksi hasil masuk notif dana refund bayar toko masuk limit cicil transaksi gagal mohon bantuanya,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2259,123,mas wali sharing pas libur kemarin bst st balap kartu bayar tauny kayak djkt sopir memghimbau emoneyqris alih transport daring,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
517,124,minimal qris bisnis error kah transaksi jam masuk,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
4902,125,barcode qris tf penuhin transaksi uang kembali,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
2663,126,linkaja indonesia sobat linkaja wishlist gaji juli ayo linkaja atur uang gaji bayar qris bayar listrik bayar ecomerce beli pulsa hinga topup kartu uang elektronik mudah linkaja,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5397,127,kantin hobi jenenge lesu cari menu sanseng pangan iki maem soto warung soto tok seng iso bayar mbek qris,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
7398,128,anime shopepay qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
6914,129,scan toko qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2690,130,bank indonesia bi putus bebas tarif qris transaksi rp ribu transaksi rp ribu bi menentapkan besar tarif mdr,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2045,131,bayar starbucks card debit qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7470,132,jual nokos tele bayar qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6703,133,januari mata qris bayar inovatif terap paham mengunakanya cek buka aplikasi bayar scan qrisperhatikan nama merchant isi nominalbayar pasti nama merchant,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4242,134,selamat siang lokasi transaksi milik data transaksi laku bank partner thailand integrasi jaring qris bank cimb thai beli bangkok bank bay bank ayudhya krungthai bank maura,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1309,135,transaksi qris potong,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
5911,136,trik qrisnya beli barang pegawai toko bayar istri qris qrisnya qris bisa mandiri oke mandiri mas printing qr code bayar,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7273,137,kurang qris kanal bayar bil dikit siasat simpan line debit card aplikasi bayar bil top ewalet manual isi rekening nohp,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3996,138,aad mohon maf ketidaknyamananya transaksi hasil batal transaksi mengunakan qris mohon sedia kece proses bayar,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
2174,139,qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
4427,140,sumpah sebel banget anjay bayar qris tahan,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
2473,141,nya fulset sealed bayar qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5794,142,era digital bantu belanja transaksi qris praktis nyaman baca berita website favorit streaming film kirim pesan sahabat keluarga sanak saudara,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
515,143,iklan cerdas promosi bayar qris mengaet oma christine hakim referensi film familiar diperanin oma qristine hakim,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
2867,144,wta qris bayar uang tahan kayak dab langsung masuk makaci sfu,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
947,145,cashier gantung persero batas qris bank arah persero batas nuruti orang mah kerja aplgi langgan gmw digit nomerny ketik sebel banget masalahny pos harus digit nomor kartu gmw sistemny transaksi,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7251,146,df transaksi pulsa lapak pulsa lapakn scan qris coba,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7072,147,permatamobile batas isi pulsa loh met quick respons qr bayar permatamobile scan qr code qris milik merchant bayar langsung rekening,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
6632,148,wujud peran bi aktif dukung transformasi ekonomi uang digital kau coba qris lae,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2625,149,bi tetap tarif mdr transaksi mengunakan qris laku transaksi rp ribu,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
4699,150,naek angkot jalan kaki pesan ojol transaksi daring qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
193,151,kemarin transaksi qris status pembayaranya tunda saldo potong,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
3803,152,ajang foto led jajan makan minum takut lapar hahaha ayo langsung jajan lupa bayar scan qris octo mobile,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1250,153,minimal beli tiket metode pemabayaran qris unduh sana expired pesan ulang metode qris lupa save qr nya qr transaksi harga tiket,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5134,154,besok qris kakak,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1659,155,kakak transaksi qris dmna,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5876,156,orang ngedit qris lucu aplikasi,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
6992,157,ketingalan dompet transaksi mudah cepat cegah risiko tindak jahat sat bawa uang tunai cegah risiko edar uang palsu cegah risiko sebar nikmat ayo,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
5043,158,mudah qris bank sampoerna cair realtime daftar sampoerna mobile merchant lumayan fre mdr transaksi bawah realtime,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1575,159,luncur qris pilih transaksi jual beli praktis bukti tingkat dagang merchant qris hinga capai juta februari,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
6340,160,pased qris bi launch bulan mantap,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1129,161,qris cepat transaksi kayak masjid jamin depa aman kalauada persis beda huruf way kemarin scan bayar hasil potong bank,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7683,162,kopi bikin pria loyo link shope,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
95,163,phm keluh keluh transaksi qris sat tangan tim resolusi mohon tungu proses updatenya tim resolusi terima yr,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5013,164,maf kendala keluh kakak transaksi qris mimin tindaklanjuti infoin detail direct message,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
7036,165,malas gerak kaum rebah bayar qris rumah,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5153,166,wta tari qris,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
6928,167,kawan prima sambut terap new normal perintah ayo manfatkan mudah bayar mengunakan qris bayar qr code metode contactles payment kurang sentuhankontak sat transaksi belanja qris praktis,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
6587,168,qris usung semangat ungul universal gampang untung langsung tuju dorong efisiensi transaksi cepat inklusi uang maju umkm makna masingmasing semangat ungul usung,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
1386,169,kasus mas sore transaksi qris pending status potong solusi mas,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
2546,170,rekening bsi simpan nabung uang perlu transaksi seharihari butuh kampus bibit nabung uang dingin benar saving nabung uang hasil private seabank apsnya aps emoney qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
3503,171,tolong respons uang refund kirim kirim mesin error isi qris potong flaz tambah respons lambat,Negatif,Positif,FP,TN,FN,,1,,,,,1,,,,,1
4332,172,ketawa bayar teh qris,Positif,Positif,TP,TN,TN,1,,,,,,1,,,,1,
2389,173,hokben blu yagesya bilang bayar qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5062,174,senang hati mimin transaksi mengunakan metode qris engak point reward reward point laku transaksi daring ofline dip kartu mesin edc,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
5692,175,bayar qris hasil detail transaksi wildest der rp note,Netral,Positif,FP,FN,TN,,1,,,,,,1,,,1,
2249,176,peswn makan grab harga makan ribu total rebu diskon ongkos kirim bayar qris harga dinaikin doank biasa biaya syarat tentu laku,Positif,Negatif,FN,TN,FP,,,,1,,,1,,,1,,
3282,177,bayar qris debit mba bayar kasih transaksi digital kesal,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
3021,178,gestun qris lihat transaksi masuk engaknya keri sedep akun bisnis gestun,Negatif,Positif,FP,TN,FN,,1,,,,,1,,,,,1
7382,179,pandemik halang donasi ayo sobat buat mudah mengunakan qris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
684,180,kupon payment transaksi qria scan qris tf disko maksimal masuk qris cashback coins,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2711,181,sumpah kemarin suruh bayar tunai akhirny bayar receh bayar qris,Negatif,Negatif,TN,TN,TP,,,1,,,,1,,1,,,
7415,182,beyb scan qris,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
2836,183,bank indonesia revisi besar tarif bayar qris dagang skala mikro persen transaksi nol persen transaksi rp,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
1418,184,warung bayar qris tolak bsisoalnya kemarin beli makan transaksi hasil masuk,Netral,Negatif,TN,FN,FP,,,1,,,,,1,,1,,
7094,185,bayar pajak kota bogor aplikasiqris,Netral,Netral,TN,TP,TN,,,1,,1,,,,,,1,
