created_at,Text,Sentiment,Score
2023-11-05 01:06:01+00:00,"000 nasabah BMS telah menggunakan fitur QRIS di M-Syariah. Selain memudahkan transaksi, fitur QRIS juga memberikan keuntungan bagi nasabah dalam hal keamanan efisiensi. Jadi tunggu apa lagi, segera download aplikasi M-Syariah dan",neutral,9.065.795.540.809.630
2023-11-05 01:07:45+00:00,"@mycarbonaraa fungsinya sama kok kaya bank2 lainnya, buat belanja, transaksi online, pembayaran ini itu, ohh bisa qris juga, dan untuk kartu nya seperti yng di gmbar udah bisa visa dan tab wifi",neutral,7.581.794.857.978.820
2023-11-05 01:29:35+00:00,"1 juta transaksi QRIS telah dilakukan oleh nasabah BMS. Jadi tunggu apa lagi, segera download aplikasi M-Syariah dan nikmati kemudahan bertransaksi dengan fitur QRIS dari BMS!",neutral,6.929.726.600.646.970
2023-11-05 01:37:24+00:00,"000 nasabah BMS telah menggunakan fitur QRIS di M-Syariah dengan total transaksi mencapai Rp 1 miliar. Wow, mantap banget nih BMS! 👏 🏼 💰",positive,9.323.272.705.078.120
2023-11-05 02:47:02+00:00,"Selamat datang di dunia baru! Bank Mega Syariah telah meluncurkan fitur QRIS di aplikasi M-Syariah. Nikmati kemudahan transaksi dengan teknologi terbaru ini, mulai dari 1 November 2023.",neutral,8.957.183.361.053.460
2023-11-05 05:31:34+00:00,QRIS Cross-Border Jadi Solusi Transaksi Ekspor Kopi Indonesia yang Lebih Mudah dan Efisien https://t.co/F7oub7A1iJ,neutral,8.308.375.477.790.830
2023-11-05 05:52:16+00:00,"Diskon 25% Fried Chicken Master dengan pembayaran Kartu Debit, Kartu Kredit dan Aplikasi QRIS khusus BRI  • Berlaku untuk Dine In dan Take Away • Minimal transaksi Rp100.000 • Maksimal diskon Rp50.000 https://t.co/PEWKZQgQlV",neutral,9.617.847.800.254.820
2023-11-05 06:41:51+00:00,"@KFCINDONESIA mau tanya dong, kok saya td pagi transaksi pake qris sampe dua kali dinsuruh coba lagi sama kasir nya cuma gara gara di edc nya eia gak ke print, padahal itu udah beda bank dan transaksi berhasil lohh, tolong tindak lanjutnya dong",neutral,5.846.912.860.870.360
2023-11-05 15:31:00+00:00,ngga bakal pke qris livin lagi😭jir lah saldo gua ketahan trnyata yg 35k kemarin transaksi dan yg sekarang katanya bakal ketahan juga kalo ngga isi bank pendukung gitu malah suruh isu sejuta MANA ADA ANJR GAU SGTU MALAH DI SURUH MINJEM LAGI😭😭😭FAKBKATA GUA TEH,negative,7.052.462.697.029.110
2023-11-06 00:06:02+00:00,"@sezna_pisfa Pagi Kak @sezna_pisfa, dengan senang hati mimin jawab. Tentu ada dong Kak, pastikan Kartu Kredit BNI Kakak udah terdaftar di aplikasi BNI Mobile Banking melalui fitur My Credit Card ya. Setelah itu, untuk menggunakan transaksi QRIS dengan (1/6)",neutral,9.862.855.076.789.850
2023-11-06 00:06:34+00:00,@sezna_pisfa @sezna_pisfa sumber dana kartu kredit berikut alurnya : 1. login BNI Mobile Banking 2. klik QRIS 3. scan QR 4. pembayaran QRIS dengan sumber dana Kartu Kredit BNI 5. masukkan password transaksi 6. transaksi berhasil. (2/6),neutral,9.917.541.742.324.820
2023-11-06 02:44:27+00:00,"@BANKBRI_ID halo min, saya mau tanya apakah Tokopedia Card bs digunakan untuk transaksi dengan kode qris?",neutral,9.974.778.294.563.290
2023-11-06 03:54:12+00:00,"@sezna_pisfa Selamat pagi Ibu Sezna. Tersedia limit transaksi dengan QRIS merchant yaitu Rp10.000.000,00/transaksi atau Rp25.000.000,00/hari. Terima kasih - Hana",neutral,9.855.031.967.163.080
2023-11-06 04:09:24+00:00,"@LiatAjaX Udah paling bener bayar pake qris, settlement ke rekening owner  Rekrut akuntan, rekapin dah transaksi tiap hari, kasih akses ke bank buat tarik data tp ga bisa execute transfer.   Kena 0.7% ya ga gede2 amat kok, daripada kena uang palsu, uang lusuh, ditilep karyawan etc 🥸",neutral,49.556.881.189.346.300
2023-11-06 04:16:32+00:00,"@bautruck Hai, #SobatRupiah. Sangat disayangkan atas kejadian yang dialami. Pada dasarnya QRIS dapat menerima seluruh transaksi pembayaran menggunakan QR, walaupun aplikasi pembayaran yang digunakan konsumen berbeda dengan penyelenggara QRIS di merchant ya. (1)",negative,9.714.276.194.572.440
2023-11-06 04:16:55+00:00,"@bautruck Jika kamu mengalami kendala transaksi menggunakan QRIS seperti yang dimaksud dan bermaksud untuk melaporkannya, kamu dapat menyampaikan pengaduan secara resmi ke Bank Indonesia dilengkapi dengan dokumen pengaduan antara lain: (2)",neutral,9.920.067.191.123.960
2023-11-06 04:17:16+00:00,"@bautruck 6. Bukti dokumen pendukung lainnya  Setelah melengkapi dokumen di atas, silakan melampirkan dokumen tersebut ke alamat email: bicara@bi.go.id serta diinformasikan untuk nomor tiketnya yaitu BICAS-061123-00220-R. Semoga tidak terjadi kendala transaksi QRIS kedepannya. 🙏 (4)",neutral,9.878.770.112.991.330
2023-11-06 04:35:32+00:00,"@asawauu Hai Sobat BRI, terima kasih atas ketertarikannya terhadap produk Kartu Kredit BRI. Belum bisa ya, kami informasikan transaksi QRIS dengan kartu kredit sebagai sumber dana dapat dilakukan menggunakan kartu kredit reguler. (1)",neutral,9.831.241.369.247.430
2023-11-06 06:57:33+00:00,"buat kalian pengguna baru qris seabank atau  belum pernah melakukan transaksi qris di seabank, ada PROMO. minimal bayar 50k kalian dapat cashback 10k.   gestun promonya di aku yuk~ kalian bayar 50k kalian dapet cb 10k aku tfb 48k kalian untung 8k #zonauang #zonajajajan #zonaaba",positive,7.832.408.547.401.420
2023-11-06 07:08:58+00:00,"LinkAja ini E-Wallet paling unik di dunia, Sejak 2 November transaksi masih pending, sudah komplain tetep aja gaada penanganan.  😂😂😂 Akhirnya bayar Qris pake E-Wallet lainnya   @linkaja https://t.co/xgHiB7bnbN",neutral,9.181.320.667.266.840
2023-11-06 07:34:44+00:00,"indibizPay merupakan aplikasi keuangan digital untuk Usaha Mikro Kecil dan Menengah Indonesia yang memiliki fitur utama pembayaran Quick Response Code Indonesian Standard (QRIS), top up dan tagihan Payment Point Online Banking (PPOB), dan pencatatan transaksi. https://t.co/YmJicApjYP",neutral,9.872.195.720.672.600
2023-11-06 08:18:36+00:00,Menjembatani Perbatasan Transaksi : QRIS Cross-Border Majukan Ekonomi Indonesia dan ASEAN https://t.co/STRlLdU6lR,neutral,9.848.564.267.158.500
2023-11-06 08:24:33+00:00,"Kegiatan ini berupa pemberian promo QRIS pembelian 1 liter minyak kepada para pekerja dengan cara scan QRIS Rp1,- sebanyak 10 kali scan ya bestie dan pada kegiatan ini diestimasi telah terjadi 2.000 transaksi QRIS, keren kan. https://t.co/G7QBfPK4PJ",neutral,568.602.442.741.394
2023-11-06 08:24:33+00:00,"Melalui kegiatan ini diharapkan mendorong peningkatan volume transaksi dan pengguna baru QRIS ya bestie, so bestie semuanya yuk terus gunakan QRIS ya dalam setiap transaksinya ya.",neutral,9.192.260.503.768.920
2023-11-06 08:25:40+00:00,"Hai QRIS bestie Dalam rangka mendorong perluasan elektronifikasi transaksi Pemda khususnya di Kabupaten Purbalingga, KPw BI Purwokerto berkolaborasi dengan Bakeuda, Bagian Hukum, Bagian Perekonomian Pemkab Purbalingga, Bank Jateng Pusat serta Bank Jateng cabang Purbalingga https://t.co/ojYh60Hi1x",neutral,9.923.681.616.783.140
2023-11-06 11:21:20+00:00,"Di #Storyofblu Chapter 2 ini, kamu bisa berbagi cerita pengalaman kamu bertransaksi menggunakan blu! Dari mulai transaksi QRIS, promo-promo blu, bluVirtual Card, hingga penggunaan bluDebit Card yang lagi hits saat ini. Contohnya kayak gini nihh.. https://t.co/AEZpVCqaok",neutral,6.953.377.723.693.840
2023-11-06 12:03:56+00:00,"mau nanya  kmaren kan beli makan terus bayar make qris ternyata beda bank, terus setelah scan notifnya 'transaksi sedang diproses', di pihak penjual jga belum masuk uangnya, tapi saldo kita berkurang senilai nominal yang dibayar itu kalau diurus ke bank bisa balik ga uangnya?",neutral,8.105.232.119.560.240
2023-11-06 12:09:33+00:00,"keuntungan lainnya kamu bisa reedem BRIpoin lho buat dapet voucher belanja, ada cashback juga 10% setiap transaksi di merchant BRI pake QRIS di  BRImo #SemuaPakeBRImo",positive,9.020.141.363.143.920
2023-11-06 12:23:42+00:00,"@gojeg Kui iseh suwe banget dan kecil potensine dadi. Le memungkinkan ki tetep transaksi podo2 nganggo duite dewe tapi le sak proxy tapi tep ora go dollar. ASEAN kui malah wes malku Indonesia, Singapura, Malaysia, Thailand, dan Filipina. Koe nang kunu tuku langsung go QRIS iso wisan",negative,9.459.284.543.991.080
2023-11-06 15:17:07+00:00,open cv promo seabank buy 50k tfb 48k  get 8k   — INSTAN — HANYA UNTUK YG BELUM PERNAH TRANSAKSI PAKE QRIS SEABANK — disarankan cv di waktu PAGI hari  tfb dana spay gopay ovo seabank bri  tg gestun qris #zonauang #zonajajan #zonaba,neutral,9.889.935.851.097.100
2023-11-06 15:17:54+00:00,"@Adie925 Hai Sobat BRI, Kartu kredit BRI dapat dijadikan sumber dana transaksi QRIS BRImo kecuali Corporate Card dan Co-Branding (OVO U Card, Traveloka Paylater, Kartu Emas Pegadaian, BTN Gold, BTN Paltinum dan Tokopedia Card). Namun jika memiliki Kartu Kredit selain Corporate Card (1)",neutral,9.933.432.340.621.940
2023-11-06 16:07:43+00:00,Menjembatani Perbatasan Transaksi : QRIS Cross-Border Majukan Ekonomi Indonesia dan ASEAN https://t.co/dic1alLDdE,neutral,9.824.028.015.136.710
2023-11-06 21:14:35+00:00,ada jaspin qris 500p/transaksi yang udah bangun kah? #zonauang,neutral,9.811.487.793.922.420
2023-11-07 00:33:56+00:00,"@sweetascandiess 2x cashback 50% untuk transaksi bluVirtual Card/bluDebit Card (maksimal Rp5.000,- per transaksi) dan 2x cashback transaksi QRIS sebesar 50% (maksimal Rp5.000,- per transaksi). (2/2)",neutral,9.717.053.771.018.980
2023-11-07 00:51:31+00:00,@blubybcadigital berkat aplikasi blu hobi nonton film di bioskop jadi lancar karena ada promo cashback 50% kalau transaksi pake QRIS di cinepolis dan cashback 40% di Cgv jadi cuma bayar 15rb pas nonton Killers Of The Flower Moon bulan Oktober bulan ini aku pake nonton The Marvels #storyofblu,positive,8.174.923.062.324.520
2023-11-07 01:14:21+00:00,Transaksi lebih mudah kini menggunakan Qris!!!  Langsung saja kepoin link nya di Bio!!  #atom4d #linkatom4d #linkatom https://t.co/9HznYdwQXx,neutral,9.614.364.504.814.140
2023-11-07 03:28:12+00:00,"@alalaaja Hai, #SobatRupiah. Untuk transaksi QR Cross Border/QRIS antarnegara, saat ini telah dpt dilakukan antara Indonesia - Malaysia &amp  Thailand ya. Sbg informasi, transaksi QRIS antarnegara Indonesia - Malaysia &amp  Thailand dpt dilakukan selama menggunakan penyelenggara yg ditetapkan. (1)",neutral,988.872.230.052.948
2023-11-07 04:02:06+00:00,@BNICustomerCare transaksi qris bni dari kmarin hingga jam saat ini 11.01 blm ditransfer (dibukukan ke rekening pemilik)' gmn ini min..sampe kapan ??,neutral,9.599.298.238.754.270
2023-11-07 06:45:16+00:00,"Dapat digunakan untuk bertransaksi di semua QR Pay merchant yang berlogo QRIS. Transaksi praktis, gak ribet, pakai Maybank QR Pay via M2U ID App.  Info lebih lanjut https://t.co/C5iPSnmSUx  #Maybank #MyBank #QRISUnggul",neutral,7.771.733.403.205.870
